projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
camel,camel-1.4.0,camel-1.5.0,F:/corpus/camel/camel#2009-01-20-05-04-24#camel-1.4.0#3246f47/camel-core/src/main/java/org/apache/camel/Component.java,F:/corpus/camel/camel#2009-01-20-05-04-24#camel-1.5.0#feed6f9/camel-core/src/main/java/org/apache/camel/Component.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49
camel,camel-1.4.0,camel-1.5.0,F:/corpus/camel/camel#2009-01-20-05-04-24#camel-1.4.0#3246f47/camel-core/src/main/java/org/apache/camel/Endpoint.java,F:/corpus/camel/camel#2009-01-20-05-04-24#camel-1.5.0#feed6f9/camel-core/src/main/java/org/apache/camel/Endpoint.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,116
camel,camel-1.4.0,camel-1.5.0,F:/corpus/camel/camel#2009-01-20-05-04-24#camel-1.4.0#3246f47/camel-core/src/main/java/org/apache/camel/Exchange.java,F:/corpus/camel/camel#2009-01-20-05-04-24#camel-1.5.0#feed6f9/camel-core/src/main/java/org/apache/camel/Exchange.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,228
camel,camel-1.4.0,camel-1.5.0,F:/corpus/camel/camel#2009-01-20-05-04-24#camel-1.4.0#3246f47/camel-core/src/main/java/org/apache/camel/NoSuchEndpointException.java,F:/corpus/camel/camel#2009-01-20-05-04-24#camel-1.5.0#feed6f9/camel-core/src/main/java/org/apache/camel/NoSuchEndpointException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,39
camel,camel-1.4.0,camel-1.5.0,F:/corpus/camel/camel#2009-01-20-05-04-24#camel-1.4.0#3246f47/camel-core/src/main/java/org/apache/camel/NoTypeConversionAvailableException.java,F:/corpus/camel/camel#2009-01-20-05-04-24#camel-1.5.0#feed6f9/camel-core/src/main/java/org/apache/camel/NoTypeConversionAvailableException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,61
camel,camel-1.4.0,camel-1.5.0,F:/corpus/camel/camel#2009-01-20-05-04-24#camel-1.4.0#3246f47/camel-core/src/main/java/org/apache/camel/PollingConsumer.java,F:/corpus/camel/camel#2009-01-20-05-04-24#camel-1.5.0#feed6f9/camel-core/src/main/java/org/apache/camel/PollingConsumer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,57
camel,camel-1.4.0,camel-1.5.0,F:/corpus/camel/camel#2009-01-20-05-04-24#camel-1.4.0#3246f47/camel-core/src/main/java/org/apache/camel/ProducerTemplate.java,F:/corpus/camel/camel#2009-01-20-05-04-24#camel-1.5.0#feed6f9/camel-core/src/main/java/org/apache/camel/ProducerTemplate.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,333
camel,camel-1.4.0,camel-1.5.0,F:/corpus/camel/camel#2009-01-20-05-04-24#camel-1.4.0#3246f47/camel-core/src/main/java/org/apache/camel/Route.java,F:/corpus/camel/camel#2009-01-20-05-04-24#camel-1.5.0#feed6f9/camel-core/src/main/java/org/apache/camel/Route.java,1,0,0,0,0,0,0,0,0,0,0,1,0,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97
camel,camel-1.4.0,camel-1.5.0,F:/corpus/camel/camel#2009-01-20-05-04-24#camel-1.4.0#3246f47/camel-core/src/main/java/org/apache/camel/Routes.java,F:/corpus/camel/camel#2009-01-20-05-04-24#camel-1.5.0#feed6f9/camel-core/src/main/java/org/apache/camel/Routes.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,29
camel,camel-1.4.0,camel-1.5.0,F:/corpus/camel/camel#2009-01-20-05-04-24#camel-1.4.0#3246f47/camel-core/src/main/java/org/apache/camel/TypeConverter.java,F:/corpus/camel/camel#2009-01-20-05-04-24#camel-1.5.0#feed6f9/camel-core/src/main/java/org/apache/camel/TypeConverter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,36
