projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
camel,camel-1.6.0,camel-2.0.0,F:/corpus/camel/camel#2009-02-18-09-44-28#camel-1.6.0#6d7eacb/camel-core/src/main/java/org/apache/camel/Body.java,F:/corpus/camel/camel#2009-08-24-21-38-52#camel-2.0.0#6c88ad6/camel-core/src/main/java/org/apache/camel/Body.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32
camel,camel-1.6.0,camel-2.0.0,F:/corpus/camel/camel#2009-02-18-09-44-28#camel-1.6.0#6d7eacb/camel-core/src/main/java/org/apache/camel/CamelContext.java,F:/corpus/camel/camel#2009-08-24-21-38-52#camel-2.0.0#6c88ad6/camel-core/src/main/java/org/apache/camel/CamelContext.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,1,4,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,107,343
camel,camel-1.6.0,camel-2.0.0,F:/corpus/camel/camel#2009-02-18-09-44-28#camel-1.6.0#6d7eacb/camel-core/src/main/java/org/apache/camel/CamelContextAware.java,F:/corpus/camel/camel#2009-08-24-21-38-52#camel-2.0.0#6c88ad6/camel-core/src/main/java/org/apache/camel/CamelContextAware.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33
camel,camel-1.6.0,camel-2.0.0,F:/corpus/camel/camel#2009-02-18-09-44-28#camel-1.6.0#6d7eacb/camel-core/src/main/java/org/apache/camel/CamelException.java,F:/corpus/camel/camel#2009-08-24-21-38-52#camel-2.0.0#6c88ad6/camel-core/src/main/java/org/apache/camel/CamelException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40
camel,camel-1.6.0,camel-2.0.0,F:/corpus/camel/camel#2009-02-18-09-44-28#camel-1.6.0#6d7eacb/camel-core/src/main/java/org/apache/camel/CamelExchangeException.java,F:/corpus/camel/camel#2009-08-24-21-38-52#camel-2.0.0#6c88ad6/camel-core/src/main/java/org/apache/camel/CamelExchangeException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48
camel,camel-1.6.0,camel-2.0.0,F:/corpus/camel/camel#2009-02-18-09-44-28#camel-1.6.0#6d7eacb/camel-core/src/main/java/org/apache/camel/Component.java,F:/corpus/camel/camel#2009-08-24-21-38-52#camel-2.0.0#6c88ad6/camel-core/src/main/java/org/apache/camel/Component.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,50
camel,camel-1.6.0,camel-2.0.0,F:/corpus/camel/camel#2009-02-18-09-44-28#camel-1.6.0#6d7eacb/camel-core/src/main/java/org/apache/camel/Consume.java,F:/corpus/camel/camel#2009-08-24-21-38-52#camel-2.0.0#6c88ad6/camel-core/src/main/java/org/apache/camel/Consume.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41
camel,camel-1.6.0,camel-2.0.0,F:/corpus/camel/camel#2009-02-18-09-44-28#camel-1.6.0#6d7eacb/camel-core/src/main/java/org/apache/camel/Consumer.java,F:/corpus/camel/camel#2009-08-24-21-38-52#camel-2.0.0#6c88ad6/camel-core/src/main/java/org/apache/camel/Consumer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25
camel,camel-1.6.0,camel-2.0.0,F:/corpus/camel/camel#2009-02-18-09-44-28#camel-1.6.0#6d7eacb/camel-core/src/main/java/org/apache/camel/Converter.java,F:/corpus/camel/camel#2009-08-24-21-38-52#camel-2.0.0#6c88ad6/camel-core/src/main/java/org/apache/camel/Converter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35
camel,camel-1.6.0,camel-2.0.0,F:/corpus/camel/camel#2009-02-18-09-44-28#camel-1.6.0#6d7eacb/camel-core/src/main/java/org/apache/camel/Endpoint.java,F:/corpus/camel/camel#2009-08-24-21-38-52#camel-2.0.0#6c88ad6/camel-core/src/main/java/org/apache/camel/Endpoint.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,50,133
