projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/CamelContext.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/CamelContext.java,0,1,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1056
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/CamelUnitOfWorkException.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/CamelUnitOfWorkException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/ConsumerTemplate.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/ConsumerTemplate.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,268
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/Endpoint.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/Endpoint.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,161
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/EndpointConfiguration.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/EndpointConfiguration.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,71
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/ErrorHandlerFactory.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/ErrorHandlerFactory.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/Exchange.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/Exchange.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,489
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/FailedToCreateRouteException.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/FailedToCreateRouteException.java,0,0,0,0,0,0,0,0,0,0,0,1,0,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/InvalidPayloadException.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/InvalidPayloadException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,51
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/Message.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/Message.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,298
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/Producer.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/Producer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/ProducerTemplate.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/ProducerTemplate.java,0,1,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1148
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/RecipientList.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/RecipientList.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/Route.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/Route.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,110
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/ServiceStatus.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/ServiceStatus.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,57
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/ThreadPoolRejectedPolicy.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/ThreadPoolRejectedPolicy.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,54
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/TimerListener.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/TimerListener.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/TypeConverter.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/TypeConverter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,76
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/api/management/mbean/ManagedCamelContextMBean.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/api/management/mbean/ManagedCamelContextMBean.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,135
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/api/management/mbean/ManagedPerformanceCounterMBean.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/api/management/mbean/ManagedPerformanceCounterMBean.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,86
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/api/management/mbean/ManagedRouteMBean.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/api/management/mbean/ManagedRouteMBean.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,95
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/builder/AdviceWithBuilder.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/builder/AdviceWithBuilder.java,0,0,0,0,0,0,0,0,0,0,0,1,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,172
camel,camel-2.9.0,camel-2.10.0,F:/corpus/camel/camel#2011-12-28-07-46-05#camel-2.9.0#4a0282b/camel-core/src/main/java/org/apache/camel/builder/AdviceWithRouteBuilder.java,F:/corpus/camel/camel#2012-06-28-06-34-05#camel-2.10.0#4b7de23/camel-core/src/main/java/org/apache/camel/builder/AdviceWithRouteBuilder.java,0,0,1,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,9,170
