projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
camel,camel-2.13.0,camel-2.14.0,F:/corpus/camel/camel#2014-03-17-21-54-28#camel-2.13.0#ec5e558/camel-core/src/main/java/org/apache/camel/ComponentConfiguration.java,F:/corpus/camel/camel#2014-09-15-16-47-18#camel-2.14.0#dd69121/camel-core/src/main/java/org/apache/camel/ComponentConfiguration.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,161
camel,camel-2.13.0,camel-2.14.0,F:/corpus/camel/camel#2014-03-17-21-54-28#camel-2.13.0#ec5e558/camel-core/src/main/java/org/apache/camel/Exchange.java,F:/corpus/camel/camel#2014-09-15-16-47-18#camel-2.14.0#dd69121/camel-core/src/main/java/org/apache/camel/Exchange.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,527
camel,camel-2.13.0,camel-2.14.0,F:/corpus/camel/camel#2014-03-17-21-54-28#camel-2.13.0#ec5e558/camel-core/src/main/java/org/apache/camel/FailedToCreateRouteException.java,F:/corpus/camel/camel#2014-09-15-16-47-18#camel-2.14.0#dd69121/camel-core/src/main/java/org/apache/camel/FailedToCreateRouteException.java,0,0,0,0,0,0,0,0,0,0,0,1,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,51
camel,camel-2.13.0,camel-2.14.0,F:/corpus/camel/camel#2014-03-17-21-54-28#camel-2.13.0#ec5e558/camel-core/src/main/java/org/apache/camel/NamedNode.java,F:/corpus/camel/camel#2014-09-15-16-47-18#camel-2.14.0#dd69121/camel-core/src/main/java/org/apache/camel/NamedNode.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43
camel,camel-2.13.0,camel-2.14.0,F:/corpus/camel/camel#2014-03-17-21-54-28#camel-2.13.0#ec5e558/camel-core/src/main/java/org/apache/camel/RecipientList.java,F:/corpus/camel/camel#2014-09-15-16-47-18#camel-2.14.0#dd69121/camel-core/src/main/java/org/apache/camel/RecipientList.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58
camel,camel-2.13.0,camel-2.14.0,F:/corpus/camel/camel#2014-03-17-21-54-28#camel-2.13.0#ec5e558/camel-core/src/main/java/org/apache/camel/Route.java,F:/corpus/camel/camel#2014-09-15-16-47-18#camel-2.14.0#dd69121/camel-core/src/main/java/org/apache/camel/Route.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,115
camel,camel-2.13.0,camel-2.14.0,F:/corpus/camel/camel#2014-03-17-21-54-28#camel-2.13.0#ec5e558/camel-core/src/main/java/org/apache/camel/RuntimeConfiguration.java,F:/corpus/camel/camel#2014-09-15-16-47-18#camel-2.14.0#dd69121/camel-core/src/main/java/org/apache/camel/RuntimeConfiguration.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,174
camel,camel-2.13.0,camel-2.14.0,F:/corpus/camel/camel#2014-03-17-21-54-28#camel-2.13.0#ec5e558/camel-core/src/main/java/org/apache/camel/StreamCache.java,F:/corpus/camel/camel#2014-09-15-16-47-18#camel-2.14.0#dd69121/camel-core/src/main/java/org/apache/camel/StreamCache.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,64
camel,camel-2.13.0,camel-2.14.0,F:/corpus/camel/camel#2014-03-17-21-54-28#camel-2.13.0#ec5e558/camel-core/src/main/java/org/apache/camel/api/management/ManagedInstance.java,F:/corpus/camel/camel#2014-09-15-16-47-18#camel-2.14.0#dd69121/camel-core/src/main/java/org/apache/camel/api/management/ManagedInstance.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31
camel,camel-2.13.0,camel-2.14.0,F:/corpus/camel/camel#2014-03-17-21-54-28#camel-2.13.0#ec5e558/camel-core/src/main/java/org/apache/camel/api/management/ManagedNotification.java,F:/corpus/camel/camel#2014-09-15-16-47-18#camel-2.14.0#dd69121/camel-core/src/main/java/org/apache/camel/api/management/ManagedNotification.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38
