projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
cassandra,cassandra-0.6.0,cassandra-0.7.0,F:/corpus/cassandra/cassandra#2010-04-12-09-37-17#cassandra-0.6.0#bb948b4/contrib/javautils/src/main/java/org/apache/cassandra/contrib/utils/service/CassandraServiceDataCleaner.java,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/contrib/javautils/src/main/java/org/apache/cassandra/contrib/utils/service/CassandraServiceDataCleaner.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,3,101
cassandra,cassandra-0.6.0,cassandra-0.7.0,F:/corpus/cassandra/cassandra#2010-04-12-09-37-17#cassandra-0.6.0#bb948b4/contrib/pig/src/java/org/apache/cassandra/hadoop/pig/CassandraStorage.java,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/contrib/pig/src/java/org/apache/cassandra/hadoop/pig/CassandraStorage.java,0,0,0,0,2,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,7,0,16,145
cassandra,cassandra-0.6.0,cassandra-0.7.0,F:/corpus/cassandra/cassandra#2010-04-12-09-37-17#cassandra-0.6.0#bb948b4/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationException.java,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationException.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,1,8,0,0,1,0,43,333
cassandra,cassandra-0.6.0,cassandra-0.7.0,F:/corpus/cassandra/cassandra#2010-04-12-09-37-17#cassandra-0.6.0#bb948b4/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationRequest.java,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationRequest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,9,0,0,10,0,76,358
cassandra,cassandra-0.6.0,cassandra-0.7.0,F:/corpus/cassandra/cassandra#2010-04-12-09-37-17#cassandra-0.6.0#bb948b4/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthorizationException.java,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthorizationException.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,1,8,0,0,1,0,42,333
cassandra,cassandra-0.6.0,cassandra-0.7.0,F:/corpus/cassandra/cassandra#2010-04-12-09-37-17#cassandra-0.6.0#bb948b4/interface/thrift/gen-java/org/apache/cassandra/thrift/Column.java,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/interface/thrift/gen-java/org/apache/cassandra/thrift/Column.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,11,3,0,2,0,2,0,0,1,0,0,3,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,26,69,0,3,7,0,155,523
cassandra,cassandra-0.6.0,cassandra-0.7.0,F:/corpus/cassandra/cassandra#2010-04-12-09-37-17#cassandra-0.6.0#bb948b4/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnOrSuperColumn.java,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnOrSuperColumn.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,1,12,0,0,2,0,47,423
cassandra,cassandra-0.6.0,cassandra-0.7.0,F:/corpus/cassandra/cassandra#2010-04-12-09-37-17#cassandra-0.6.0#bb948b4/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnParent.java,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnParent.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,15,18,0,0,3,0,64,429
cassandra,cassandra-0.6.0,cassandra-0.7.0,F:/corpus/cassandra/cassandra#2010-04-12-09-37-17#cassandra-0.6.0#bb948b4/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnPath.java,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnPath.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,29,28,0,0,5,0,86,526
cassandra,cassandra-0.6.0,cassandra-0.7.0,F:/corpus/cassandra/cassandra#2010-04-12-09-37-17#cassandra-0.6.0#bb948b4/interface/thrift/gen-java/org/apache/cassandra/thrift/ConsistencyLevel.java,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/interface/thrift/gen-java/org/apache/cassandra/thrift/ConsistencyLevel.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,106
cassandra,cassandra-0.6.0,cassandra-0.7.0,F:/corpus/cassandra/cassandra#2010-04-12-09-37-17#cassandra-0.6.0#bb948b4/interface/thrift/gen-java/org/apache/cassandra/thrift/Constants.java,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/interface/thrift/gen-java/org/apache/cassandra/thrift/Constants.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47
