projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
cassandra,cassandra-0.7.0,cassandra-0.8.0,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/contrib/pig/src/java/org/apache/cassandra/hadoop/pig/CassandraStorage.java,F:/corpus/cassandra/cassandra#2011-06-03-06-03-47#cassandra-0.8.0#b44fa70/contrib/pig/src/java/org/apache/cassandra/hadoop/pig/CassandraStorage.java,0,0,0,0,2,0,0,0,0,0,0,0,0,YES,0,0,0,0,21,9,0,2,0,0,0,3,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,21,15,0,3,4,0,360,168
cassandra,cassandra-0.7.0,cassandra-0.8.0,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationException.java,F:/corpus/cassandra/cassandra#2011-06-03-06-03-47#cassandra-0.8.0#b44fa70/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationException.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,27,344
cassandra,cassandra-0.7.0,cassandra-0.8.0,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationRequest.java,F:/corpus/cassandra/cassandra#2011-06-03-06-03-47#cassandra-0.8.0#b44fa70/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationRequest.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,41,389
cassandra,cassandra-0.7.0,cassandra-0.8.0,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthorizationException.java,F:/corpus/cassandra/cassandra#2011-06-03-06-03-47#cassandra-0.8.0#b44fa70/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthorizationException.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,27,344
cassandra,cassandra-0.7.0,cassandra-0.8.0,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java,F:/corpus/cassandra/cassandra#2011-06-03-06-03-47#cassandra-0.8.0#b44fa70/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java,0,3,1,0,8,84,941,0,0,0,9,2,0,YES,0,0,0,12,168,195,0,14,0,56,0,0,0,0,0,56,0,0,0,7,0,5,0,7,29,0,263,29,0,114,0,60,60,0,115,181,0,0,0,0,0,0,5,339,0,3,591,0,3220,26801
cassandra,cassandra-0.7.0,cassandra-0.8.0,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/interface/thrift/gen-java/org/apache/cassandra/thrift/CfDef.java,F:/corpus/cassandra/cassandra#2011-06-03-06-03-47#cassandra-0.8.0#b44fa70/interface/thrift/gen-java/org/apache/cassandra/thrift/CfDef.java,0,1,0,0,0,0,0,0,0,7,0,0,0,YES,0,0,0,0,29,33,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,21,0,0,0,0,0,0,0,187,0,0,22,0,547,2147
cassandra,cassandra-0.7.0,cassandra-0.8.0,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/interface/thrift/gen-java/org/apache/cassandra/thrift/Column.java,F:/corpus/cassandra/cassandra#2011-06-03-06-03-47#cassandra-0.8.0#b44fa70/interface/thrift/gen-java/org/apache/cassandra/thrift/Column.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,2,0,1,1,0,2,5,0,0,0,0,0,0,7,4,0,8,16,0,91,653
cassandra,cassandra-0.7.0,cassandra-0.8.0,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnDef.java,F:/corpus/cassandra/cassandra#2011-06-03-06-03-47#cassandra-0.8.0#b44fa70/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnDef.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,2,5,0,0,0,0,0,0,1,1,0,0,10,0,55,657
cassandra,cassandra-0.7.0,cassandra-0.8.0,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnOrSuperColumn.java,F:/corpus/cassandra/cassandra#2011-06-03-06-03-47#cassandra-0.8.0#b44fa70/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnOrSuperColumn.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,12,7,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,3,0,0,0,0,0,0,0,76,0,0,2,0,189,443
cassandra,cassandra-0.7.0,cassandra-0.8.0,F:/corpus/cassandra/cassandra#2011-01-10-08-38-51#cassandra-0.7.0#7b7e357/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnParent.java,F:/corpus/cassandra/cassandra#2011-06-03-06-03-47#cassandra-0.8.0#b44fa70/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnParent.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,8,0,40,454
