projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
cassandra,cassandra-1.0.0,cassandra-1.1.0,F:/corpus/cassandra/cassandra#2011-10-18-19-24-49#cassandra-1.0.0#533193a/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationRequest.java,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationRequest.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,0,13,399
cassandra,cassandra-1.0.0,cassandra-1.1.0,F:/corpus/cassandra/cassandra#2011-10-18-19-24-49#cassandra-1.0.0#533193a/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthorizationException.java,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthorizationException.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,354
cassandra,cassandra-1.0.0,cassandra-1.1.0,F:/corpus/cassandra/cassandra#2011-10-18-19-24-49#cassandra-1.0.0#533193a/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java,0,4,1,0,8,93,1204,0,0,0,10,4,0,YES,0,0,0,16,93,2,0,4,0,0,0,1,23,0,0,33,0,0,0,0,31,0,0,1,0,0,1,0,0,94,0,31,0,1,34,5,0,0,0,0,0,0,474,149,0,4,240,0,6109,32100
cassandra,cassandra-1.0.0,cassandra-1.1.0,F:/corpus/cassandra/cassandra#2011-10-18-19-24-49#cassandra-1.0.0#533193a/interface/thrift/gen-java/org/apache/cassandra/thrift/CfDef.java,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/interface/thrift/gen-java/org/apache/cassandra/thrift/CfDef.java,0,1,0,0,0,0,0,0,0,7,0,1,0,YES,0,0,0,0,30,17,0,13,0,0,0,0,11,7,0,72,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,283,213,89,45,0,1843,2836
cassandra,cassandra-1.0.0,cassandra-1.1.0,F:/corpus/cassandra/cassandra#2011-10-18-19-24-49#cassandra-1.0.0#533193a/interface/thrift/gen-java/org/apache/cassandra/thrift/Column.java,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/interface/thrift/gen-java/org/apache/cassandra/thrift/Column.java,0,0,0,0,0,0,0,0,0,0,0,2,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,661
cassandra,cassandra-1.0.0,cassandra-1.1.0,F:/corpus/cassandra/cassandra#2011-10-18-19-24-49#cassandra-1.0.0#533193a/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnDef.java,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnDef.java,0,0,0,0,0,0,0,0,0,0,0,2,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,0,17,808
cassandra,cassandra-1.0.0,cassandra-1.1.0,F:/corpus/cassandra/cassandra#2011-10-18-19-24-49#cassandra-1.0.0#533193a/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnOrSuperColumn.java,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnOrSuperColumn.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,652
cassandra,cassandra-1.0.0,cassandra-1.1.0,F:/corpus/cassandra/cassandra#2011-10-18-19-24-49#cassandra-1.0.0#533193a/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnParent.java,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnParent.java,0,0,0,0,0,1,0,0,0,0,0,1,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,464
cassandra,cassandra-1.0.0,cassandra-1.1.0,F:/corpus/cassandra/cassandra#2011-10-18-19-24-49#cassandra-1.0.0#533193a/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnPath.java,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnPath.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,575
cassandra,cassandra-1.0.0,cassandra-1.1.0,F:/corpus/cassandra/cassandra#2011-10-18-19-24-49#cassandra-1.0.0#533193a/interface/thrift/gen-java/org/apache/cassandra/thrift/Compression.java,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/interface/thrift/gen-java/org/apache/cassandra/thrift/Compression.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68
