projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
cassandra,cassandra-1.1.0,cassandra-1.2.0,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationRequest.java,F:/corpus/cassandra/cassandra#2012-12-29-20-08-23#cassandra-1.2.0#69337a4/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationRequest.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,399
cassandra,cassandra-1.1.0,cassandra-1.2.0,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java,F:/corpus/cassandra/cassandra#2012-12-29-20-08-23#cassandra-1.2.0#69337a4/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java,0,3,2,0,14,105,1401,0,0,0,11,2,0,YES,0,0,0,28,42,0,0,0,0,0,0,0,2,0,0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,2,155,0,7860,35448
cassandra,cassandra-1.1.0,cassandra-1.2.0,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/interface/thrift/gen-java/org/apache/cassandra/thrift/Constants.java,F:/corpus/cassandra/cassandra#2012-12-29-20-08-23#cassandra-1.2.0#69337a4/interface/thrift/gen-java/org/apache/cassandra/thrift/Constants.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49
cassandra,cassandra-1.1.0,cassandra-1.2.0,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/interface/thrift/gen-java/org/apache/cassandra/thrift/CqlPreparedResult.java,F:/corpus/cassandra/cassandra#2012-12-29-20-08-23#cassandra-1.2.0#69337a4/interface/thrift/gen-java/org/apache/cassandra/thrift/CqlPreparedResult.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,8,2,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,1,1,0,121,578
cassandra,cassandra-1.1.0,cassandra-1.2.0,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/interface/thrift/gen-java/org/apache/cassandra/thrift/IndexType.java,F:/corpus/cassandra/cassandra#2012-12-29-20-08-23#cassandra-1.2.0#69337a4/interface/thrift/gen-java/org/apache/cassandra/thrift/IndexType.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,65
cassandra,cassandra-1.1.0,cassandra-1.2.0,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/interface/thrift/gen-java/org/apache/cassandra/thrift/SchemaDisagreementException.java,F:/corpus/cassandra/cassandra#2012-12-29-20-08-23#cassandra-1.2.0#69337a4/interface/thrift/gen-java/org/apache/cassandra/thrift/SchemaDisagreementException.java,0,0,0,0,1,1,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,251
cassandra,cassandra-1.1.0,cassandra-1.2.0,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/src/java/org/apache/cassandra/auth/AllowAllAuthenticator.java,F:/corpus/cassandra/cassandra#2012-12-29-20-08-23#cassandra-1.2.0#69337a4/src/java/org/apache/cassandra/auth/AllowAllAuthenticator.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,22,46
cassandra,cassandra-1.1.0,cassandra-1.2.0,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/src/java/org/apache/cassandra/auth/AuthenticatedUser.java,F:/corpus/cassandra/cassandra#2012-12-29-20-08-23#cassandra-1.2.0#69337a4/src/java/org/apache/cassandra/auth/AuthenticatedUser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,23,52
cassandra,cassandra-1.1.0,cassandra-1.2.0,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/src/java/org/apache/cassandra/auth/IAuthenticator.java,F:/corpus/cassandra/cassandra#2012-12-29-20-08-23#cassandra-1.2.0#69337a4/src/java/org/apache/cassandra/auth/IAuthenticator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,45
cassandra,cassandra-1.1.0,cassandra-1.2.0,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/src/java/org/apache/cassandra/auth/Permission.java,F:/corpus/cassandra/cassandra#2012-12-29-20-08-23#cassandra-1.2.0#69337a4/src/java/org/apache/cassandra/auth/Permission.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,38
cassandra,cassandra-1.1.0,cassandra-1.2.0,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/src/java/org/apache/cassandra/auth/Resources.java,F:/corpus/cassandra/cassandra#2012-12-29-20-08-23#cassandra-1.2.0#69337a4/src/java/org/apache/cassandra/auth/Resources.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,51
cassandra,cassandra-1.1.0,cassandra-1.2.0,F:/corpus/cassandra/cassandra#2012-04-21-00-35-34#cassandra-1.1.0#c671532/src/java/org/apache/cassandra/cache/AutoSavingCache.java,F:/corpus/cassandra/cassandra#2012-12-29-20-08-23#cassandra-1.2.0#69337a4/src/java/org/apache/cassandra/cache/AutoSavingCache.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,1,2,3,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,6,10,1,1,7,0,101,293
