projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
derby,10.0.2.1,10.1.1.0,F:/corpus/derby/derby#2005-08-01-07-30-43#10.0.2.1#64e4b63/java/drda/org/apache/derby/drda/NetworkServerControl.java,F:/corpus/derby/derby#2005-08-04-11-57-58#10.1.1.0#c32c43c/java/drda/org/apache/derby/drda/NetworkServerControl.java,0,0,0,0,0,0,0,0,0,0,0,1,0,YES,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,3,0,9,472
derby,10.0.2.1,10.1.1.0,F:/corpus/derby/derby#2005-08-01-07-30-43#10.0.2.1#64e4b63/java/drda/org/apache/derby/impl/drda/AppRequester.java,F:/corpus/derby/derby#2005-08-04-11-57-58#10.1.1.0#c32c43c/java/drda/org/apache/derby/impl/drda/AppRequester.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,19,252
derby,10.0.2.1,10.1.1.0,F:/corpus/derby/derby#2005-08-01-07-30-43#10.0.2.1#64e4b63/java/drda/org/apache/derby/impl/drda/ClientThread.java,F:/corpus/derby/derby#2005-08-04-11-57-58#10.1.1.0#c32c43c/java/drda/org/apache/derby/impl/drda/ClientThread.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,5,123
derby,10.0.2.1,10.1.1.0,F:/corpus/derby/derby#2005-08-01-07-30-43#10.0.2.1#64e4b63/java/drda/org/apache/derby/impl/drda/CodePoint.java,F:/corpus/derby/derby#2005-08-04-11-57-58#10.1.1.0#c32c43c/java/drda/org/apache/derby/impl/drda/CodePoint.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,84,803
derby,10.0.2.1,10.1.1.0,F:/corpus/derby/derby#2005-08-01-07-30-43#10.0.2.1#64e4b63/java/drda/org/apache/derby/impl/drda/DDMReader.java,F:/corpus/derby/derby#2005-08-04-11-57-58#10.1.1.0#c32c43c/java/drda/org/apache/derby/impl/drda/DDMReader.java,0,1,0,0,0,0,0,0,0,3,0,0,1,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,19,1777
derby,10.0.2.1,10.1.1.0,F:/corpus/derby/derby#2005-08-01-07-30-43#10.0.2.1#64e4b63/java/drda/org/apache/derby/impl/drda/DDMWriter.java,F:/corpus/derby/derby#2005-08-04-11-57-58#10.1.1.0#c32c43c/java/drda/org/apache/derby/impl/drda/DDMWriter.java,0,1,0,0,2,0,0,0,0,1,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,18,1882
derby,10.0.2.1,10.1.1.0,F:/corpus/derby/derby#2005-08-01-07-30-43#10.0.2.1#64e4b63/java/drda/org/apache/derby/impl/drda/DRDAConnThread.java,F:/corpus/derby/derby#2005-08-04-11-57-58#10.1.1.0#c32c43c/java/drda/org/apache/derby/impl/drda/DRDAConnThread.java,0,1,0,0,7,1,0,0,3,15,0,0,23,YES,0,0,0,0,7,4,12,8,0,1,0,28,14,3,1,13,0,0,0,10,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,123,70,18,20,16,0,552,7167
derby,10.0.2.1,10.1.1.0,F:/corpus/derby/derby#2005-08-01-07-30-43#10.0.2.1#64e4b63/java/drda/org/apache/derby/impl/drda/DRDAProtocolException.java,F:/corpus/derby/derby#2005-08-04-11-57-58#10.1.1.0#c32c43c/java/drda/org/apache/derby/impl/drda/DRDAProtocolException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,406
derby,10.0.2.1,10.1.1.0,F:/corpus/derby/derby#2005-08-01-07-30-43#10.0.2.1#64e4b63/java/drda/org/apache/derby/impl/drda/DRDAResultSet.java,F:/corpus/derby/derby#2005-08-04-11-57-58#10.1.1.0#c32c43c/java/drda/org/apache/derby/impl/drda/DRDAResultSet.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,22,500
derby,10.0.2.1,10.1.1.0,F:/corpus/derby/derby#2005-08-01-07-30-43#10.0.2.1#64e4b63/java/drda/org/apache/derby/impl/drda/DRDAStatement.java,F:/corpus/derby/derby#2005-08-04-11-57-58#10.1.1.0#c32c43c/java/drda/org/apache/derby/impl/drda/DRDAStatement.java,0,1,0,0,3,1,0,0,0,0,1,0,0,YES,0,0,0,0,8,1,5,2,0,0,0,5,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,26,8,0,2,8,0,299,1480
