projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
derby,10.2.2.0,10.3.1.4,F:/corpus/derby/derby#2006-12-20-04-12-39#10.2.2.0#c30c7da/java/build/org/apache/derbyBuild/ODBCMetadataGenerator.java,F:/corpus/derby/derby#2007-08-11-04-41-00#10.3.1.4#e3f128d/java/build/org/apache/derbyBuild/ODBCMetadataGenerator.java,0,1,0,0,1,0,0,0,0,1,0,0,0,YES,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,83,1167
derby,10.2.2.0,10.3.1.4,F:/corpus/derby/derby#2006-12-20-04-12-39#10.2.2.0#c30c7da/java/build/org/apache/derbyBuild/eclipse/DerbyEclipsePlugin.java,F:/corpus/derby/derby#2007-08-11-04-41-00#10.3.1.4#e3f128d/java/build/org/apache/derbyBuild/eclipse/DerbyEclipsePlugin.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,187
derby,10.2.2.0,10.3.1.4,F:/corpus/derby/derby#2006-12-20-04-12-39#10.2.2.0#c30c7da/java/build/org/apache/derbyBuild/splitmessages.java,F:/corpus/derby/derby#2007-08-11-04-41-00#10.3.1.4#e3f128d/java/build/org/apache/derbyBuild/splitmessages.java,0,0,0,0,0,0,0,0,1,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,250
derby,10.2.2.0,10.3.1.4,F:/corpus/derby/derby#2006-12-20-04-12-39#10.2.2.0#c30c7da/java/client/org/apache/derby/client/am/Blob.java,F:/corpus/derby/derby#2007-08-11-04-41-00#10.3.1.4#e3f128d/java/client/org/apache/derby/client/am/Blob.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,3,0,0,11,0,0,0,1,11,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,63,0,15,4,0,122,565
derby,10.2.2.0,10.3.1.4,F:/corpus/derby/derby#2006-12-20-04-12-39#10.2.2.0#c30c7da/java/client/org/apache/derby/client/am/BlobOutputStream.java,F:/corpus/derby/derby#2007-08-11-04-41-00#10.3.1.4#e3f128d/java/client/org/apache/derby/client/am/BlobOutputStream.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,19,72
derby,10.2.2.0,10.3.1.4,F:/corpus/derby/derby#2006-12-20-04-12-39#10.2.2.0#c30c7da/java/client/org/apache/derby/client/am/CallableStatement.java,F:/corpus/derby/derby#2007-08-11-04-41-00#10.3.1.4#e3f128d/java/client/org/apache/derby/client/am/CallableStatement.java,0,1,0,1,0,0,0,0,1,0,0,0,0,YES,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,109,1,0,18,1,0,182,1411
derby,10.2.2.0,10.3.1.4,F:/corpus/derby/derby#2006-12-20-04-12-39#10.2.2.0#c30c7da/java/client/org/apache/derby/client/am/ClientJDBCObjectFactory.java,F:/corpus/derby/derby#2007-08-11-04-41-00#10.3.1.4#e3f128d/java/client/org/apache/derby/client/am/ClientJDBCObjectFactory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,318
derby,10.2.2.0,10.3.1.4,F:/corpus/derby/derby#2006-12-20-04-12-39#10.2.2.0#c30c7da/java/client/org/apache/derby/client/am/Clob.java,F:/corpus/derby/derby#2007-08-11-04-41-00#10.3.1.4#e3f128d/java/client/org/apache/derby/client/am/Clob.java,0,0,0,0,1,0,0,0,2,0,0,0,0,YES,0,0,0,0,2,0,0,11,0,0,0,1,31,1,0,7,0,0,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,30,63,0,18,10,0,154,878
derby,10.2.2.0,10.3.1.4,F:/corpus/derby/derby#2006-12-20-04-12-39#10.2.2.0#c30c7da/java/client/org/apache/derby/client/am/ClobOutputStream.java,F:/corpus/derby/derby#2007-08-11-04-41-00#10.3.1.4#e3f128d/java/client/org/apache/derby/client/am/ClobOutputStream.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,20,82
derby,10.2.2.0,10.3.1.4,F:/corpus/derby/derby#2006-12-20-04-12-39#10.2.2.0#c30c7da/java/client/org/apache/derby/client/am/ClobWriter.java,F:/corpus/derby/derby#2007-08-11-04-41-00#10.3.1.4#e3f128d/java/client/org/apache/derby/client/am/ClobWriter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,0,0,36,103
derby,10.2.2.0,10.3.1.4,F:/corpus/derby/derby#2006-12-20-04-12-39#10.2.2.0#c30c7da/java/client/org/apache/derby/client/am/CloseFilterInputStream.java,F:/corpus/derby/derby#2007-08-11-04-41-00#10.3.1.4#e3f128d/java/client/org/apache/derby/client/am/CloseFilterInputStream.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,118
derby,10.2.2.0,10.3.1.4,F:/corpus/derby/derby#2006-12-20-04-12-39#10.2.2.0#c30c7da/java/client/org/apache/derby/client/am/ColumnMetaData.java,F:/corpus/derby/derby#2007-08-11-04-41-00#10.3.1.4#e3f128d/java/client/org/apache/derby/client/am/ColumnMetaData.java,0,0,0,0,0,0,0,0,4,0,0,0,1,YES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,4,923
