projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
derby,10.3.3.0,10.4.1.3,F:/corpus/derby/derby#2008-05-22-04-54-03#10.3.3.0#543369e/java/build/org/apache/derbyBuild/JiraConnector.java,F:/corpus/derby/derby#2008-04-25-22-24-10#10.4.1.3#c946401/java/build/org/apache/derbyBuild/JiraConnector.java,0,0,0,0,2,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,114
derby,10.3.3.0,10.4.1.3,F:/corpus/derby/derby#2008-05-22-04-54-03#10.3.3.0#543369e/java/build/org/apache/derbyBuild/classlister.java,F:/corpus/derby/derby#2008-04-25-22-24-10#10.4.1.3#c946401/java/build/org/apache/derbyBuild/classlister.java,0,0,0,0,0,1,0,0,0,2,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,740
derby,10.3.3.0,10.4.1.3,F:/corpus/derby/derby#2008-05-22-04-54-03#10.3.3.0#543369e/java/build/org/apache/derbyBuild/javadoc/EndFormatTaglet.java,F:/corpus/derby/derby#2008-04-25-22-24-10#10.4.1.3#c946401/java/build/org/apache/derbyBuild/javadoc/EndFormatTaglet.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,136
derby,10.3.3.0,10.4.1.3,F:/corpus/derby/derby#2008-05-22-04-54-03#10.3.3.0#543369e/java/build/org/apache/derbyBuild/javadoc/PurposeTaglet.java,F:/corpus/derby/derby#2008-04-25-22-24-10#10.4.1.3#c946401/java/build/org/apache/derbyBuild/javadoc/PurposeTaglet.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,139
derby,10.3.3.0,10.4.1.3,F:/corpus/derby/derby#2008-05-22-04-54-03#10.3.3.0#543369e/java/build/org/apache/derbyBuild/propertyconfig.java,F:/corpus/derby/derby#2008-04-25-22-24-10#10.4.1.3#c946401/java/build/org/apache/derbyBuild/propertyconfig.java,0,0,0,0,0,0,0,0,0,1,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,347
derby,10.3.3.0,10.4.1.3,F:/corpus/derby/derby#2008-05-22-04-54-03#10.3.3.0#543369e/java/build/org/apache/derbyBuild/splitmessages.java,F:/corpus/derby/derby#2008-04-25-22-24-10#10.4.1.3#c946401/java/build/org/apache/derbyBuild/splitmessages.java,0,0,0,0,0,0,0,0,1,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,248
derby,10.3.3.0,10.4.1.3,F:/corpus/derby/derby#2008-05-22-04-54-03#10.3.3.0#543369e/java/client/org/apache/derby/client/ClientPooledConnection.java,F:/corpus/derby/derby#2008-04-25-22-24-10#10.4.1.3#c946401/java/client/org/apache/derby/client/ClientPooledConnection.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,2,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,14,0,0,61,408
derby,10.3.3.0,10.4.1.3,F:/corpus/derby/derby#2008-05-22-04-54-03#10.3.3.0#543369e/java/client/org/apache/derby/client/am/Blob.java,F:/corpus/derby/derby#2008-04-25-22-24-10#10.4.1.3#c946401/java/client/org/apache/derby/client/am/Blob.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,763
derby,10.3.3.0,10.4.1.3,F:/corpus/derby/derby#2008-05-22-04-54-03#10.3.3.0#543369e/java/client/org/apache/derby/client/am/BlobLocatorInputStream.java,F:/corpus/derby/derby#2008-04-25-22-24-10#10.4.1.3#c946401/java/client/org/apache/derby/client/am/BlobLocatorInputStream.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,211
derby,10.3.3.0,10.4.1.3,F:/corpus/derby/derby#2008-05-22-04-54-03#10.3.3.0#543369e/java/client/org/apache/derby/client/am/CallableStatement.java,F:/corpus/derby/derby#2008-04-25-22-24-10#10.4.1.3#c946401/java/client/org/apache/derby/client/am/CallableStatement.java,0,1,0,1,1,0,0,0,1,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1263
