projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
derby,10.6.2.1,10.7.1.1,F:/corpus/derby/derby#2010-10-13-05-06-29#10.6.2.1#3a37064/java/build/org/apache/derbyBuild/ElementFacade.java,F:/corpus/derby/derby#2010-12-15-01-08-52#10.7.1.1#7829e43/java/build/org/apache/derbyBuild/ElementFacade.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,95
derby,10.6.2.1,10.7.1.1,F:/corpus/derby/derby#2010-10-13-05-06-29#10.6.2.1#3a37064/java/build/org/apache/derbyBuild/GeneratorBase.java,F:/corpus/derby/derby#2010-12-15-01-08-52#10.7.1.1#7829e43/java/build/org/apache/derbyBuild/GeneratorBase.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,2,0,21,762
derby,10.6.2.1,10.7.1.1,F:/corpus/derby/derby#2010-10-13-05-06-29#10.6.2.1#3a37064/java/build/org/apache/derbyBuild/JiraIssue.java,F:/corpus/derby/derby#2010-12-15-01-08-52#10.7.1.1#7829e43/java/build/org/apache/derbyBuild/JiraIssue.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,3,8,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,2,0,105,146
derby,10.6.2.1,10.7.1.1,F:/corpus/derby/derby#2010-10-13-05-06-29#10.6.2.1#3a37064/java/build/org/apache/derbyBuild/MessageBuilder.java,F:/corpus/derby/derby#2010-12-15-01-08-52#10.7.1.1#7829e43/java/build/org/apache/derbyBuild/MessageBuilder.java,0,0,1,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,784
derby,10.6.2.1,10.7.1.1,F:/corpus/derby/derby#2010-10-13-05-06-29#10.6.2.1#3a37064/java/build/org/apache/derbyBuild/MessageBundleTest.java,F:/corpus/derby/derby#2010-12-15-01-08-52#10.7.1.1#7829e43/java/build/org/apache/derbyBuild/MessageBundleTest.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,232
derby,10.6.2.1,10.7.1.1,F:/corpus/derby/derby#2010-10-13-05-06-29#10.6.2.1#3a37064/java/build/org/apache/derbyBuild/ODBCMetadataGenerator.java,F:/corpus/derby/derby#2010-12-15-01-08-52#10.7.1.1#7829e43/java/build/org/apache/derbyBuild/ODBCMetadataGenerator.java,0,1,0,0,1,0,0,0,0,1,0,0,0,YES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,42,1294
derby,10.6.2.1,10.7.1.1,F:/corpus/derby/derby#2010-10-13-05-06-29#10.6.2.1#3a37064/java/build/org/apache/derbyBuild/ReleaseNotesGenerator.java,F:/corpus/derby/derby#2010-12-15-01-08-52#10.7.1.1#7829e43/java/build/org/apache/derbyBuild/ReleaseNotesGenerator.java,0,0,0,1,0,0,0,0,1,0,0,0,0,YES,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,8,0,1,1,0,94,450
derby,10.6.2.1,10.7.1.1,F:/corpus/derby/derby#2010-10-13-05-06-29#10.6.2.1#3a37064/java/build/org/apache/derbyBuild/classlister.java,F:/corpus/derby/derby#2010-12-15-01-08-52#10.7.1.1#7829e43/java/build/org/apache/derbyBuild/classlister.java,0,0,0,0,0,1,0,0,0,2,0,0,0,YES,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,15,741
derby,10.6.2.1,10.7.1.1,F:/corpus/derby/derby#2010-10-13-05-06-29#10.6.2.1#3a37064/java/build/org/apache/derbyBuild/javadoc/DiskLayoutTaglet.java,F:/corpus/derby/derby#2010-12-15-01-08-52#10.7.1.1#7829e43/java/build/org/apache/derbyBuild/javadoc/DiskLayoutTaglet.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,137
derby,10.6.2.1,10.7.1.1,F:/corpus/derby/derby#2010-10-13-05-06-29#10.6.2.1#3a37064/java/build/org/apache/derbyBuild/javadoc/EndFormatTaglet.java,F:/corpus/derby/derby#2010-12-15-01-08-52#10.7.1.1#7829e43/java/build/org/apache/derbyBuild/javadoc/EndFormatTaglet.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,134
derby,10.6.2.1,10.7.1.1,F:/corpus/derby/derby#2010-10-13-05-06-29#10.6.2.1#3a37064/java/build/org/apache/derbyBuild/javadoc/FormatIdTaglet.java,F:/corpus/derby/derby#2010-12-15-01-08-52#10.7.1.1#7829e43/java/build/org/apache/derbyBuild/javadoc/FormatIdTaglet.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,138
derby,10.6.2.1,10.7.1.1,F:/corpus/derby/derby#2010-10-13-05-06-29#10.6.2.1#3a37064/java/build/org/apache/derbyBuild/javadoc/PurposeTaglet.java,F:/corpus/derby/derby#2010-12-15-01-08-52#10.7.1.1#7829e43/java/build/org/apache/derbyBuild/javadoc/PurposeTaglet.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,137
derby,10.6.2.1,10.7.1.1,F:/corpus/derby/derby#2010-10-13-05-06-29#10.6.2.1#3a37064/java/build/org/apache/derbyBuild/javadoc/UpgradeTaglet.java,F:/corpus/derby/derby#2010-12-15-01-08-52#10.7.1.1#7829e43/java/build/org/apache/derbyBuild/javadoc/UpgradeTaglet.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,137
derby,10.6.2.1,10.7.1.1,F:/corpus/derby/derby#2010-10-13-05-06-29#10.6.2.1#3a37064/java/build/org/apache/derbyBuild/splitmessages.java,F:/corpus/derby/derby#2010-12-15-01-08-52#10.7.1.1#7829e43/java/build/org/apache/derbyBuild/splitmessages.java,0,0,0,0,0,0,0,0,1,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,250
derby,10.6.2.1,10.7.1.1,F:/corpus/derby/derby#2010-10-13-05-06-29#10.6.2.1#3a37064/java/client/org/apache/derby/client/am/Blob.java,F:/corpus/derby/derby#2010-12-15-01-08-52#10.7.1.1#7829e43/java/client/org/apache/derby/client/am/Blob.java,0,0,0,0,0,0,0,0,3,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,9,745
derby,10.6.2.1,10.7.1.1,F:/corpus/derby/derby#2010-10-13-05-06-29#10.6.2.1#3a37064/java/client/org/apache/derby/client/am/ClobLocatorInputStream.java,F:/corpus/derby/derby#2010-12-15-01-08-52#10.7.1.1#7829e43/java/client/org/apache/derby/client/am/ClobLocatorInputStream.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,205
derby,10.6.2.1,10.7.1.1,F:/corpus/derby/derby#2010-10-13-05-06-29#10.6.2.1#3a37064/java/client/org/apache/derby/client/am/ClobLocatorReader.java,F:/corpus/derby/derby#2010-12-15-01-08-52#10.7.1.1#7829e43/java/client/org/apache/derby/client/am/ClobLocatorReader.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,237
derby,10.6.2.1,10.7.1.1,F:/corpus/derby/derby#2010-10-13-05-06-29#10.6.2.1#3a37064/java/client/org/apache/derby/client/am/ColumnMetaData.java,F:/corpus/derby/derby#2010-12-15-01-08-52#10.7.1.1#7829e43/java/client/org/apache/derby/client/am/ColumnMetaData.java,0,0,0,0,0,0,0,0,6,0,0,0,1,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,11,950
derby,10.6.2.1,10.7.1.1,F:/corpus/derby/derby#2010-10-13-05-06-29#10.6.2.1#3a37064/java/client/org/apache/derby/client/am/Connection.java,F:/corpus/derby/derby#2010-12-15-01-08-52#10.7.1.1#7829e43/java/client/org/apache/derby/client/am/Connection.java,0,1,0,0,3,0,0,0,2,0,0,1,0,YES,0,0,0,0,3,1,1,1,0,0,0,6,3,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,9,0,1,1,0,86,2403
