projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
elasticsearch,v0.12.0,v0.13.0,F:/corpus/elasticsearch/elasticsearch#2010-10-19-05-17-34#v0.12.0#27ee635/modules/benchmark/micro/src/main/java/org/elasticsearch/benchmark/stress/SingleThreadBulkStress.java,F:/corpus/elasticsearch/elasticsearch#2010-11-18-22-40-21#v0.13.0#7ec6e00/modules/benchmark/micro/src/main/java/org/elasticsearch/benchmark/stress/SingleThreadBulkStress.java,0,0,0,0,1,0,0,1,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,5,105
elasticsearch,v0.12.0,v0.13.0,F:/corpus/elasticsearch/elasticsearch#2010-10-19-05-17-34#v0.12.0#27ee635/modules/elasticsearch/src/main/java/org/apache/lucene/queryParser/MapperQueryParser.java,F:/corpus/elasticsearch/elasticsearch#2010-11-18-22-40-21#v0.13.0#7ec6e00/modules/elasticsearch/src/main/java/org/apache/lucene/queryParser/MapperQueryParser.java,0,0,0,0,0,0,0,0,1,0,0,0,0,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,18,199
elasticsearch,v0.12.0,v0.13.0,F:/corpus/elasticsearch/elasticsearch#2010-10-19-05-17-34#v0.12.0#27ee635/modules/elasticsearch/src/main/java/org/apache/lucene/search/DeletionAwareConstantScoreQuery.java,F:/corpus/elasticsearch/elasticsearch#2010-11-18-22-40-21#v0.13.0#7ec6e00/modules/elasticsearch/src/main/java/org/apache/lucene/search/DeletionAwareConstantScoreQuery.java,0,0,0,0,3,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,16,12,0,3,3,0,37,230
elasticsearch,v0.12.0,v0.13.0,F:/corpus/elasticsearch/elasticsearch#2010-10-19-05-17-34#v0.12.0#27ee635/modules/elasticsearch/src/main/java/org/apache/lucene/search/PublicTermsFilter.java,F:/corpus/elasticsearch/elasticsearch#2010-11-18-22-40-21#v0.13.0#7ec6e00/modules/elasticsearch/src/main/java/org/apache/lucene/search/PublicTermsFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,34
elasticsearch,v0.12.0,v0.13.0,F:/corpus/elasticsearch/elasticsearch#2010-10-19-05-17-34#v0.12.0#27ee635/modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionRequestValidationException.java,F:/corpus/elasticsearch/elasticsearch#2010-11-18-22-40-21#v0.13.0#7ec6e00/modules/elasticsearch/src/main/java/org/elasticsearch/action/ActionRequestValidationException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61
elasticsearch,v0.12.0,v0.13.0,F:/corpus/elasticsearch/elasticsearch#2010-10-19-05-17-34#v0.12.0#27ee635/modules/elasticsearch/src/main/java/org/elasticsearch/action/TransportActionModule.java,F:/corpus/elasticsearch/elasticsearch#2010-11-18-22-40-21#v0.13.0#7ec6e00/modules/elasticsearch/src/main/java/org/elasticsearch/action/TransportActionModule.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,121
elasticsearch,v0.12.0,v0.13.0,F:/corpus/elasticsearch/elasticsearch#2010-10-19-05-17-34#v0.12.0#27ee635/modules/elasticsearch/src/main/java/org/elasticsearch/action/TransportActions.java,F:/corpus/elasticsearch/elasticsearch#2010-11-18-22-40-21#v0.13.0#7ec6e00/modules/elasticsearch/src/main/java/org/elasticsearch/action/TransportActions.java,4,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,92
elasticsearch,v0.12.0,v0.13.0,F:/corpus/elasticsearch/elasticsearch#2010-10-19-05-17-34#v0.12.0#27ee635/modules/elasticsearch/src/main/java/org/elasticsearch/action/PrimaryNotStartedActionException.java,F:/corpus/elasticsearch/elasticsearch#2010-11-18-22-40-21#v0.13.0#7ec6e00/modules/elasticsearch/src/main/java/org/elasticsearch/action/UnavailableShardsException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40
elasticsearch,v0.12.0,v0.13.0,F:/corpus/elasticsearch/elasticsearch#2010-10-19-05-17-34#v0.12.0#27ee635/modules/elasticsearch/src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterHealthResponse.java,F:/corpus/elasticsearch/elasticsearch#2010-11-18-22-40-21#v0.13.0#7ec6e00/modules/elasticsearch/src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterHealthResponse.java,0,0,0,0,0,0,0,0,0,0,0,2,0,YES,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,237
elasticsearch,v0.12.0,v0.13.0,F:/corpus/elasticsearch/elasticsearch#2010-10-19-05-17-34#v0.12.0#27ee635/modules/elasticsearch/src/main/java/org/elasticsearch/action/admin/cluster/health/TransportClusterHealthAction.java,F:/corpus/elasticsearch/elasticsearch#2010-11-18-22-40-21#v0.13.0#7ec6e00/modules/elasticsearch/src/main/java/org/elasticsearch/action/admin/cluster/health/TransportClusterHealthAction.java,0,0,0,0,1,0,0,1,1,0,0,0,0,YES,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,5,0,0,9,261
