projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
elasticsearch,v0.15.0,v0.16.0,F:/corpus/elasticsearch/elasticsearch#2011-02-19-01-49-30#v0.15.0#dac2a88/modules/benchmark/micro/src/main/java/org/elasticsearch/benchmark/common/lucene/uidscan/LuceneUidScanBenchmark.java,F:/corpus/elasticsearch/elasticsearch#2011-04-24-04-48-15#v0.16.0#0ebd6db/modules/benchmark/micro/src/main/java/org/elasticsearch/benchmark/common/lucene/uidscan/LuceneUidScanBenchmark.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,106
elasticsearch,v0.15.0,v0.16.0,F:/corpus/elasticsearch/elasticsearch#2011-02-19-01-49-30#v0.15.0#dac2a88/modules/benchmark/micro/src/main/java/org/elasticsearch/benchmark/index/engine/SimpleEngineBenchmark.java,F:/corpus/elasticsearch/elasticsearch#2011-04-24-04-48-15#v0.16.0#0ebd6db/modules/benchmark/micro/src/main/java/org/elasticsearch/benchmark/index/engine/SimpleEngineBenchmark.java,0,0,1,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,328
elasticsearch,v0.15.0,v0.16.0,F:/corpus/elasticsearch/elasticsearch#2011-02-19-01-49-30#v0.15.0#dac2a88/modules/benchmark/micro/src/main/java/org/elasticsearch/benchmark/percolator/EmbeddedPercolatorBenchmarkTest.java,F:/corpus/elasticsearch/elasticsearch#2011-04-24-04-48-15#v0.16.0#0ebd6db/modules/benchmark/micro/src/main/java/org/elasticsearch/benchmark/percolator/EmbeddedPercolatorBenchmarkTest.java,0,0,0,0,1,0,0,1,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,127
elasticsearch,v0.15.0,v0.16.0,F:/corpus/elasticsearch/elasticsearch#2011-02-19-01-49-30#v0.15.0#dac2a88/modules/benchmark/micro/src/main/java/org/elasticsearch/benchmark/search/facet/HistogramFacetSearchBenchmark.java,F:/corpus/elasticsearch/elasticsearch#2011-04-24-04-48-15#v0.16.0#0ebd6db/modules/benchmark/micro/src/main/java/org/elasticsearch/benchmark/search/facet/HistogramFacetSearchBenchmark.java,0,0,0,0,1,0,0,1,0,1,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,0,2,0,28,205
elasticsearch,v0.15.0,v0.16.0,F:/corpus/elasticsearch/elasticsearch#2011-02-19-01-49-30#v0.15.0#dac2a88/modules/benchmark/micro/src/main/java/org/elasticsearch/benchmark/search/facet/TermsFacetSearchBenchmark.java,F:/corpus/elasticsearch/elasticsearch#2011-04-24-04-48-15#v0.16.0#0ebd6db/modules/benchmark/micro/src/main/java/org/elasticsearch/benchmark/search/facet/TermsFacetSearchBenchmark.java,0,0,0,0,1,0,0,1,0,1,0,0,0,YES,0,0,0,1,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,33,0,0,8,0,92,168
elasticsearch,v0.15.0,v0.16.0,F:/corpus/elasticsearch/elasticsearch#2011-02-19-01-49-30#v0.15.0#dac2a88/modules/benchmark/micro/src/main/java/org/elasticsearch/benchmark/stress/SingleThreadBulkStress.java,F:/corpus/elasticsearch/elasticsearch#2011-04-24-04-48-15#v0.16.0#0ebd6db/modules/benchmark/micro/src/main/java/org/elasticsearch/benchmark/stress/SingleThreadBulkStress.java,0,0,0,0,1,0,0,1,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,1,5,0,12,107
elasticsearch,v0.15.0,v0.16.0,F:/corpus/elasticsearch/elasticsearch#2011-02-19-01-49-30#v0.15.0#dac2a88/modules/benchmark/micro/src/main/java/org/elasticsearch/benchmark/time/SimpleTimeBenchmark.java,F:/corpus/elasticsearch/elasticsearch#2011-04-24-04-48-15#v0.16.0#0ebd6db/modules/benchmark/micro/src/main/java/org/elasticsearch/benchmark/time/SimpleTimeBenchmark.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,63
elasticsearch,v0.15.0,v0.16.0,F:/corpus/elasticsearch/elasticsearch#2011-02-19-01-49-30#v0.15.0#dac2a88/modules/elasticsearch/src/main/java/org/elasticsearch/common/lucene/search/ExtendedIndexSearcher.java,F:/corpus/elasticsearch/elasticsearch#2011-04-24-04-48-15#v0.16.0#0ebd6db/modules/elasticsearch/src/main/java/org/apache/lucene/index/ExtendedIndexSearcher.java,0,0,0,0,0,0,0,0,0,0,0,1,0,YES,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,1,0,0,0,0,22,69
elasticsearch,v0.15.0,v0.16.0,F:/corpus/elasticsearch/elasticsearch#2011-02-19-01-49-30#v0.15.0#dac2a88/modules/elasticsearch/src/main/java/org/apache/lucene/queryParser/MapperQueryParser.java,F:/corpus/elasticsearch/elasticsearch#2011-04-24-04-48-15#v0.16.0#0ebd6db/modules/elasticsearch/src/main/java/org/apache/lucene/queryParser/MapperQueryParser.java,0,0,0,0,0,0,0,0,1,0,0,0,0,YES,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,89,217
elasticsearch,v0.15.0,v0.16.0,F:/corpus/elasticsearch/elasticsearch#2011-02-19-01-49-30#v0.15.0#dac2a88/modules/elasticsearch/src/main/java/org/apache/lucene/queryParser/MultiFieldMapperQueryParser.java,F:/corpus/elasticsearch/elasticsearch#2011-04-24-04-48-15#v0.16.0#0ebd6db/modules/elasticsearch/src/main/java/org/apache/lucene/queryParser/MultiFieldMapperQueryParser.java,0,0,0,1,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,4,0,5,237
