projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
elasticsearch,v0.17.0,v0.18.0,F:/corpus/elasticsearch/elasticsearch#2011-07-19-06-32-43#v0.17.0#eacdacb/modules/elasticsearch/src/main/java/org/apache/lucene/index/TrackingConcurrentMergeScheduler.java,F:/corpus/elasticsearch/elasticsearch#2011-10-27-02-58-24#v0.18.0#3544b07/modules/elasticsearch/src/main/java/org/apache/lucene/index/TrackingConcurrentMergeScheduler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,8,1,0,6,0,16,77
elasticsearch,v0.17.0,v0.18.0,F:/corpus/elasticsearch/elasticsearch#2011-07-19-06-32-43#v0.17.0#eacdacb/modules/elasticsearch/src/main/java/org/apache/lucene/index/TrackingSerialMergeScheduler.java,F:/corpus/elasticsearch/elasticsearch#2011-10-27-02-58-24#v0.18.0#3544b07/modules/elasticsearch/src/main/java/org/apache/lucene/index/TrackingSerialMergeScheduler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,8,1,0,6,0,16,90
elasticsearch,v0.17.0,v0.18.0,F:/corpus/elasticsearch/elasticsearch#2011-07-19-06-32-43#v0.17.0#eacdacb/modules/elasticsearch/src/main/java/org/apache/lucene/queryParser/ExistsFieldQueryExtension.java,F:/corpus/elasticsearch/elasticsearch#2011-10-27-02-58-24#v0.18.0#3544b07/modules/elasticsearch/src/main/java/org/apache/lucene/queryParser/ExistsFieldQueryExtension.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,58
elasticsearch,v0.17.0,v0.18.0,F:/corpus/elasticsearch/elasticsearch#2011-07-19-06-32-43#v0.17.0#eacdacb/modules/elasticsearch/src/main/java/org/apache/lucene/queryParser/MapperQueryParser.java,F:/corpus/elasticsearch/elasticsearch#2011-10-27-02-58-24#v0.18.0#3544b07/modules/elasticsearch/src/main/java/org/apache/lucene/queryParser/MapperQueryParser.java,0,0,0,0,0,0,0,0,1,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,13,0,13,5,0,52,333
elasticsearch,v0.17.0,v0.18.0,F:/corpus/elasticsearch/elasticsearch#2011-07-19-06-32-43#v0.17.0#eacdacb/modules/elasticsearch/src/main/java/org/apache/lucene/queryParser/MissingFieldQueryExtension.java,F:/corpus/elasticsearch/elasticsearch#2011-10-27-02-58-24#v0.18.0#3544b07/modules/elasticsearch/src/main/java/org/apache/lucene/queryParser/MissingFieldQueryExtension.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,63
elasticsearch,v0.17.0,v0.18.0,F:/corpus/elasticsearch/elasticsearch#2011-07-19-06-32-43#v0.17.0#eacdacb/modules/elasticsearch/src/main/java/org/apache/lucene/queryParser/QueryParserSettings.java,F:/corpus/elasticsearch/elasticsearch#2011-10-27-02-58-24#v0.18.0#3544b07/modules/elasticsearch/src/main/java/org/apache/lucene/queryParser/QueryParserSettings.java,1,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,23,198
elasticsearch,v0.17.0,v0.18.0,F:/corpus/elasticsearch/elasticsearch#2011-07-19-06-32-43#v0.17.0#eacdacb/modules/elasticsearch/src/main/java/org/apache/lucene/search/PublicTermsFilter.java,F:/corpus/elasticsearch/elasticsearch#2011-10-27-02-58-24#v0.18.0#3544b07/modules/elasticsearch/src/main/java/org/apache/lucene/search/PublicTermsFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,96
elasticsearch,v0.17.0,v0.18.0,F:/corpus/elasticsearch/elasticsearch#2011-07-19-06-32-43#v0.17.0#eacdacb/modules/elasticsearch/src/main/java/org/apache/lucene/search/vectorhighlight/CustomFieldQuery.java,F:/corpus/elasticsearch/elasticsearch#2011-10-27-02-58-24#v0.18.0#3544b07/modules/elasticsearch/src/main/java/org/apache/lucene/search/vectorhighlight/CustomFieldQuery.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,5,148
elasticsearch,v0.17.0,v0.18.0,F:/corpus/elasticsearch/elasticsearch#2011-07-19-06-32-43#v0.17.0#eacdacb/modules/elasticsearch/src/main/java/org/apache/lucene/store/bytebuffer/ByteBufferDirectory.java,F:/corpus/elasticsearch/elasticsearch#2011-10-27-02-58-24#v0.18.0#3544b07/modules/elasticsearch/src/main/java/org/apache/lucene/store/bytebuffer/ByteBufferDirectory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,177
elasticsearch,v0.17.0,v0.18.0,F:/corpus/elasticsearch/elasticsearch#2011-07-19-06-32-43#v0.17.0#eacdacb/modules/elasticsearch/src/main/java/org/elasticsearch/Version.java,F:/corpus/elasticsearch/elasticsearch#2011-10-27-02-58-24#v0.18.0#3544b07/modules/elasticsearch/src/main/java/org/elasticsearch/Version.java,0,0,0,0,1,1,0,0,0,0,0,0,0,YES,0,0,0,0,7,9,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,8,0,0,1,2,40,81
