projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
elasticsearch,v0.90.0,v1.0.0,F:/corpus/elasticsearch/elasticsearch#2013-04-29-19-41-43#v0.90.0#cb75ce0/src/main/java/jsr166e/ConcurrentHashMapV8.java,F:/corpus/elasticsearch/elasticsearch#2014-02-13-00-18-13#v1.0.0#a46900e/src/main/java/jsr166e/ConcurrentHashMapV8.java,0,1,0,0,25,0,373,0,0,5,0,0,0,YES,0,0,11,10,38,23,18,51,3,16,0,18,9,2,1,68,2,5,4,57,8,36,37,139,1,2,63,39,1,3,3,0,3,7,63,12,1,0,1,3,1,1,404,806,7,215,287,1,5026,6856
elasticsearch,v0.90.0,v1.0.0,F:/corpus/elasticsearch/elasticsearch#2013-04-29-19-41-43#v0.90.0#cb75ce0/src/main/java/jsr166e/CountedCompleter.java,F:/corpus/elasticsearch/elasticsearch#2014-02-13-00-18-13#v1.0.0#a46900e/src/main/java/jsr166e/CountedCompleter.java,0,0,0,0,2,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,61,744
elasticsearch,v0.90.0,v1.0.0,F:/corpus/elasticsearch/elasticsearch#2013-04-29-19-41-43#v0.90.0#cb75ce0/src/main/java/jsr166e/ForkJoinPool.java,F:/corpus/elasticsearch/elasticsearch#2014-02-13-00-18-13#v1.0.0#a46900e/src/main/java/jsr166e/ForkJoinPool.java,0,1,0,0,1,0,0,0,0,1,0,0,0,YES,0,0,0,1,8,4,13,12,0,3,0,31,15,5,5,53,1,0,0,16,1,2,5,8,1,3,2,0,0,0,0,0,0,0,7,4,0,0,3,0,0,2,200,138,7,99,45,1,878,3427
elasticsearch,v0.90.0,v1.0.0,F:/corpus/elasticsearch/elasticsearch#2013-04-29-19-41-43#v0.90.0#cb75ce0/src/main/java/jsr166e/ForkJoinTask.java,F:/corpus/elasticsearch/elasticsearch#2014-02-13-00-18-13#v1.0.0#a46900e/src/main/java/jsr166e/ForkJoinTask.java,0,1,0,0,2,0,0,0,0,0,0,0,0,YES,0,0,0,1,0,1,1,4,0,0,0,0,0,1,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,1,4,2,0,70,1508
elasticsearch,v0.90.0,v1.0.0,F:/corpus/elasticsearch/elasticsearch#2013-04-29-19-41-43#v0.90.0#cb75ce0/src/main/java/jsr166e/ForkJoinWorkerThread.java,F:/corpus/elasticsearch/elasticsearch#2014-02-13-00-18-13#v1.0.0#a46900e/src/main/java/jsr166e/ForkJoinWorkerThread.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,121
elasticsearch,v0.90.0,v1.0.0,F:/corpus/elasticsearch/elasticsearch#2013-04-29-19-41-43#v0.90.0#cb75ce0/src/main/java/jsr166e/RecursiveTask.java,F:/corpus/elasticsearch/elasticsearch#2014-02-13-00-18-13#v1.0.0#a46900e/src/main/java/jsr166e/RecursiveTask.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,68
elasticsearch,v0.90.0,v1.0.0,F:/corpus/elasticsearch/elasticsearch#2013-04-29-19-41-43#v0.90.0#cb75ce0/src/main/java/jsr166e/StampedLock.java,F:/corpus/elasticsearch/elasticsearch#2014-02-13-00-18-13#v1.0.0#a46900e/src/main/java/jsr166e/StampedLock.java,0,1,0,0,0,0,0,0,0,1,0,0,0,YES,0,0,0,0,3,2,2,9,0,0,0,6,6,7,3,27,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,54,21,60,15,0,247,1345
elasticsearch,v0.90.0,v1.0.0,F:/corpus/elasticsearch/elasticsearch#2013-04-29-19-41-43#v0.90.0#cb75ce0/src/main/java/jsr166e/extra/AtomicDouble.java,F:/corpus/elasticsearch/elasticsearch#2014-02-13-00-18-13#v1.0.0#a46900e/src/main/java/jsr166e/extra/AtomicDouble.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,275
elasticsearch,v0.90.0,v1.0.0,F:/corpus/elasticsearch/elasticsearch#2013-04-29-19-41-43#v0.90.0#cb75ce0/src/main/java/jsr166e/extra/AtomicDoubleArray.java,F:/corpus/elasticsearch/elasticsearch#2014-02-13-00-18-13#v1.0.0#a46900e/src/main/java/jsr166e/extra/AtomicDoubleArray.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,322
elasticsearch,v0.90.0,v1.0.0,F:/corpus/elasticsearch/elasticsearch#2013-04-29-19-41-43#v0.90.0#cb75ce0/src/main/java/jsr166e/extra/SequenceLock.java,F:/corpus/elasticsearch/elasticsearch#2014-02-13-00-18-13#v1.0.0#a46900e/src/main/java/jsr166e/extra/SequenceLock.java,0,0,0,0,2,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,637
