projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
elasticsearch,v1.1.0,v1.2.0,F:/corpus/elasticsearch/elasticsearch#2014-03-25-23-57-22#v1.1.0#2181e11/src/main/java/org/apache/lucene/queries/ExtendedCommonTermsQuery.java,F:/corpus/elasticsearch/elasticsearch#2014-05-22-20-46-30#v1.2.0#c82387f/src/main/java/org/apache/lucene/queries/ExtendedCommonTermsQuery.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,85,176
elasticsearch,v1.1.0,v1.2.0,F:/corpus/elasticsearch/elasticsearch#2014-03-25-23-57-22#v1.1.0#2181e11/src/main/java/org/apache/lucene/queryparser/classic/MapperQueryParser.java,F:/corpus/elasticsearch/elasticsearch#2014-05-22-20-46-30#v1.2.0#c82387f/src/main/java/org/apache/lucene/queryparser/classic/MapperQueryParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,885
elasticsearch,v1.1.0,v1.2.0,F:/corpus/elasticsearch/elasticsearch#2014-03-25-23-57-22#v1.1.0#2181e11/src/main/java/org/apache/lucene/search/postingshighlight/XPostingsHighlighter.java,F:/corpus/elasticsearch/elasticsearch#2014-05-22-20-46-30#v1.2.0#c82387f/src/main/java/org/apache/lucene/search/postingshighlight/XPostingsHighlighter.java,0,0,0,0,8,0,0,0,0,1,1,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,777
elasticsearch,v1.1.0,v1.2.0,F:/corpus/elasticsearch/elasticsearch#2014-03-25-23-57-22#v1.1.0#2181e11/src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java,F:/corpus/elasticsearch/elasticsearch#2014-05-22-20-46-30#v1.2.0#c82387f/src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java,0,1,0,0,2,1,0,0,0,2,1,0,0,YES,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,22,0,42,1084
elasticsearch,v1.1.0,v1.2.0,F:/corpus/elasticsearch/elasticsearch#2014-03-25-23-57-22#v1.1.0#2181e11/src/main/java/org/apache/lucene/search/suggest/analyzing/XFuzzySuggester.java,F:/corpus/elasticsearch/elasticsearch#2014-05-22-20-46-30#v1.2.0#c82387f/src/main/java/org/apache/lucene/search/suggest/analyzing/XFuzzySuggester.java,1,0,0,1,1,0,0,0,0,0,1,0,0,YES,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,6,263
elasticsearch,v1.1.0,v1.2.0,F:/corpus/elasticsearch/elasticsearch#2014-03-25-23-57-22#v1.1.0#2181e11/src/main/java/org/apache/lucene/search/vectorhighlight/CustomFieldQuery.java,F:/corpus/elasticsearch/elasticsearch#2014-05-22-20-46-30#v1.2.0#c82387f/src/main/java/org/apache/lucene/search/vectorhighlight/CustomFieldQuery.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,163
elasticsearch,v1.1.0,v1.2.0,F:/corpus/elasticsearch/elasticsearch#2014-03-25-23-57-22#v1.1.0#2181e11/src/main/java/org/apache/lucene/store/RateLimitedFSDirectory.java,F:/corpus/elasticsearch/elasticsearch#2014-05-22-20-46-30#v1.2.0#c82387f/src/main/java/org/apache/lucene/store/RateLimitedFSDirectory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,2,143
elasticsearch,v1.1.0,v1.2.0,F:/corpus/elasticsearch/elasticsearch#2014-03-25-23-57-22#v1.1.0#2181e11/src/main/java/org/elasticsearch/ExceptionsHelper.java,F:/corpus/elasticsearch/elasticsearch#2014-05-22-20-46-30#v1.2.0#c82387f/src/main/java/org/elasticsearch/ExceptionsHelper.java,0,0,0,0,0,1,0,0,0,0,0,3,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,113
elasticsearch,v1.1.0,v1.2.0,F:/corpus/elasticsearch/elasticsearch#2014-03-25-23-57-22#v1.1.0#2181e11/src/main/java/org/elasticsearch/Version.java,F:/corpus/elasticsearch/elasticsearch#2014-05-22-20-46-30#v1.2.0#c82387f/src/main/java/org/elasticsearch/Version.java,0,0,0,0,1,0,0,0,0,1,0,3,0,YES,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,63,423
elasticsearch,v1.1.0,v1.2.0,F:/corpus/elasticsearch/elasticsearch#2014-03-25-23-57-22#v1.1.0#2181e11/src/main/java/org/elasticsearch/action/ActionModule.java,F:/corpus/elasticsearch/elasticsearch#2014-05-22-20-46-30#v1.2.0#c82387f/src/main/java/org/elasticsearch/action/ActionModule.java,0,0,0,0,0,0,0,0,0,1,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,314
