projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/apache/lucene/queryparser/classic/MapperQueryParser.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/apache/lucene/queryparser/classic/MapperQueryParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,7,884
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/apache/lucene/queryparser/classic/QueryParserSettings.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/apache/lucene/queryparser/classic/QueryParserSettings.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,27,390
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/apache/lucene/search/suggest/analyzing/XAnalyzingSuggester.java,0,1,0,0,3,1,0,0,0,2,1,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1123
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/apache/lucene/search/suggest/analyzing/XFuzzySuggester.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/apache/lucene/search/suggest/analyzing/XFuzzySuggester.java,1,0,0,1,1,0,0,0,0,0,1,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,259
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/ExceptionsHelper.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/ExceptionsHelper.java,0,0,0,0,0,1,0,0,0,0,0,3,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,202
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/Version.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/Version.java,0,0,0,0,1,0,0,0,0,1,0,7,0,YES,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,30,2,0,6,0,81,570
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/ActionFuture.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/ActionFuture.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,98
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/ActionRunnable.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/ActionRunnable.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,43
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterHealthResponse.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterHealthResponse.java,1,0,0,0,0,0,0,1,0,0,0,4,0,YES,0,0,0,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,33,0,0,1,0,28,317
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterIndexHealth.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterIndexHealth.java,1,0,0,0,0,0,0,0,0,0,0,1,0,YES,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,8,293
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/cluster/health/TransportClusterHealthAction.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/cluster/health/TransportClusterHealthAction.java,0,0,0,0,2,0,0,1,0,1,0,0,0,YES,0,0,0,0,4,0,8,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1,0,1,5,0,122,248
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/NodesHotThreadsRequest.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/NodesHotThreadsRequest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,20,100
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/NodesHotThreadsRequestBuilder.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/NodesHotThreadsRequestBuilder.java,0,0,1,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,54
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/TransportNodesHotThreadsAction.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/cluster/node/hotthreads/TransportNodesHotThreadsAction.java,0,0,0,0,1,0,0,0,1,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,133
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/cluster/settings/ClusterUpdateSettingsRequest.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/cluster/settings/ClusterUpdateSettingsRequest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,162
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/cluster/settings/TransportClusterUpdateSettingsAction.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/cluster/settings/TransportClusterUpdateSettingsAction.java,0,0,0,0,0,0,0,1,0,1,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,240
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/cluster/snapshots/restore/RestoreSnapshotRequest.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/cluster/snapshots/restore/RestoreSnapshotRequest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,8,2,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,7,1,0,95,587
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/cluster/snapshots/restore/RestoreSnapshotRequestBuilder.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/cluster/snapshots/restore/RestoreSnapshotRequestBuilder.java,0,0,1,0,0,0,0,0,0,0,0,1,0,YES,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,237
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/cluster/snapshots/restore/TransportRestoreSnapshotAction.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/cluster/snapshots/restore/TransportRestoreSnapshotAction.java,0,0,0,0,2,0,0,0,1,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,109
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/cluster/snapshots/status/TransportNodesSnapshotsStatus.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/cluster/snapshots/status/TransportNodesSnapshotsStatus.java,0,0,0,0,3,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,306
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/cluster/snapshots/status/TransportSnapshotsStatusAction.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/cluster/snapshots/status/TransportSnapshotsStatusAction.java,0,0,0,0,2,0,0,1,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,234
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/cluster/state/ClusterStateRequest.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/cluster/state/ClusterStateRequest.java,0,0,0,0,0,0,0,0,0,0,0,4,0,YES,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,9,151
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/cluster/state/ClusterStateRequestBuilder.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/cluster/state/ClusterStateRequestBuilder.java,0,0,1,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,96
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/cluster/stats/TransportClusterStatsAction.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/cluster/stats/TransportClusterStatsAction.java,0,0,0,0,2,0,0,1,0,0,1,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,185
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/indices/alias/IndicesAliasesRequest.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/indices/alias/IndicesAliasesRequest.java,0,0,1,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,9,4,0,2,1,0,55,355
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/indices/alias/IndicesAliasesRequestBuilder.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/indices/alias/IndicesAliasesRequestBuilder.java,0,0,1,0,0,0,0,0,0,0,0,1,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,196
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/indices/alias/TransportIndicesAliasesAction.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/indices/alias/TransportIndicesAliasesAction.java,0,0,0,0,0,0,0,1,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,7,0,0,7,134
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/indices/alias/get/GetAliasesRequest.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/indices/alias/get/GetAliasesRequest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,104
elasticsearch,v1.4.0,v1.5.0,F:/corpus/elasticsearch/elasticsearch#2014-11-05-22-24-31#v1.4.0#bc94bd8/src/main/java/org/elasticsearch/action/admin/indices/analyze/TransportAnalyzeAction.java,F:/corpus/elasticsearch/elasticsearch#2015-03-23-22-28-55#v1.5.0#5448160/src/main/java/org/elasticsearch/action/admin/indices/analyze/TransportAnalyzeAction.java,0,0,0,0,0,0,0,1,0,1,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,303
