projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
guava,v3.0,v4.0,F:/corpus/guava/guava#2010-06-03-08-26-58#v3.0#a393220/src/com/google/common/base/CharMatcher.java,F:/corpus/guava/guava#2010-06-03-08-26-58#v4.0#00efa0c/src/com/google/common/base/CharMatcher.java,0,1,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1121
guava,v3.0,v4.0,F:/corpus/guava/guava#2010-06-03-08-26-58#v3.0#a393220/src/com/google/common/base/Charsets.java,F:/corpus/guava/guava#2010-06-03-08-26-58#v4.0#00efa0c/src/com/google/common/base/Charsets.java,1,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,76
guava,v3.0,v4.0,F:/corpus/guava/guava#2010-06-03-08-26-58#v3.0#a393220/src/com/google/common/base/Joiner.java,F:/corpus/guava/guava#2010-06-03-08-26-58#v4.0#00efa0c/src/com/google/common/base/Joiner.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,342
guava,v3.0,v4.0,F:/corpus/guava/guava#2010-06-03-08-26-58#v3.0#a393220/src/com/google/common/base/Objects.java,F:/corpus/guava/guava#2010-06-03-08-26-58#v4.0#00efa0c/src/com/google/common/base/Objects.java,0,0,0,0,0,0,0,0,0,0,0,1,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,188
guava,v3.0,v4.0,F:/corpus/guava/guava#2010-06-03-08-26-58#v3.0#a393220/src/com/google/common/base/Strings.java,F:/corpus/guava/guava#2010-06-03-08-26-58#v4.0#00efa0c/src/com/google/common/base/Strings.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,163
guava,v3.0,v4.0,F:/corpus/guava/guava#2010-06-03-08-26-58#v3.0#a393220/src/com/google/common/base/Suppliers.java,F:/corpus/guava/guava#2010-06-03-08-26-58#v4.0#00efa0c/src/com/google/common/base/Suppliers.java,0,0,0,0,0,0,1,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,197
guava,v3.0,v4.0,F:/corpus/guava/guava#2010-06-03-08-26-58#v3.0#a393220/src/com/google/common/base/Throwables.java,F:/corpus/guava/guava#2010-06-03-08-26-58#v4.0#00efa0c/src/com/google/common/base/Throwables.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,252
guava,v3.0,v4.0,F:/corpus/guava/guava#2010-06-03-08-26-58#v3.0#a393220/src/com/google/common/collect/AbstractMultimap.java,F:/corpus/guava/guava#2010-06-03-08-26-58#v4.0#00efa0c/src/com/google/common/collect/AbstractMultimap.java,0,1,3,0,2,0,1,0,0,0,0,1,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1491
guava,v3.0,v4.0,F:/corpus/guava/guava#2010-06-03-08-26-58#v3.0#a393220/src/com/google/common/collect/ComparisonChain.java,F:/corpus/guava/guava#2010-06-03-08-26-58#v4.0#00efa0c/src/com/google/common/collect/ComparisonChain.java,0,0,0,0,7,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,195
guava,v3.0,v4.0,F:/corpus/guava/guava#2010-06-03-08-26-58#v3.0#a393220/src/com/google/common/collect/CustomConcurrentHashMap.java,F:/corpus/guava/guava#2010-06-03-08-26-58#v4.0#00efa0c/src/com/google/common/collect/CustomConcurrentHashMap.java,0,2,0,0,3,0,1,0,0,0,0,0,0,YES,0,1,0,31,26,21,0,1,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,0,0,0,0,40,0,0,0,0,2050,2161
