projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
guava,v5.0,v6.0,F:/corpus/guava/guava#2010-06-03-08-26-58#v5.0#1ab3ec7/src/com/google/common/base/Defaults.java,F:/corpus/guava/guava#2010-07-09-05-54-56#v6.0#9b62975/src/com/google/common/base/Defaults.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,57
guava,v5.0,v6.0,F:/corpus/guava/guava#2010-06-03-08-26-58#v5.0#1ab3ec7/src/com/google/common/base/Equivalence.java,F:/corpus/guava/guava#2010-07-09-05-54-56#v6.0#9b62975/src/com/google/common/base/Equivalence.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,71
guava,v5.0,v6.0,F:/corpus/guava/guava#2010-06-03-08-26-58#v5.0#1ab3ec7/src/com/google/common/base/Equivalences.java,F:/corpus/guava/guava#2010-07-09-05-54-56#v6.0#9b62975/src/com/google/common/base/Equivalences.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,93
guava,v5.0,v6.0,F:/corpus/guava/guava#2010-06-03-08-26-58#v5.0#1ab3ec7/src/com/google/common/base/FinalizablePhantomReference.java,F:/corpus/guava/guava#2010-07-09-05-54-56#v6.0#9b62975/src/com/google/common/base/FinalizablePhantomReference.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,47
guava,v5.0,v6.0,F:/corpus/guava/guava#2010-06-03-08-26-58#v5.0#1ab3ec7/src/com/google/common/base/FinalizableReference.java,F:/corpus/guava/guava#2010-07-09-05-54-56#v6.0#9b62975/src/com/google/common/base/FinalizableReference.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,36
guava,v5.0,v6.0,F:/corpus/guava/guava#2010-06-03-08-26-58#v5.0#1ab3ec7/src/com/google/common/base/FinalizableReferenceQueue.java,F:/corpus/guava/guava#2010-07-09-05-54-56#v6.0#9b62975/src/com/google/common/base/FinalizableReferenceQueue.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,99,314
guava,v5.0,v6.0,F:/corpus/guava/guava#2010-06-03-08-26-58#v5.0#1ab3ec7/src/com/google/common/base/FinalizableSoftReference.java,F:/corpus/guava/guava#2010-07-09-05-54-56#v6.0#9b62975/src/com/google/common/base/FinalizableSoftReference.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,43
guava,v5.0,v6.0,F:/corpus/guava/guava#2010-06-03-08-26-58#v5.0#1ab3ec7/src/com/google/common/base/FinalizableWeakReference.java,F:/corpus/guava/guava#2010-07-09-05-54-56#v6.0#9b62975/src/com/google/common/base/FinalizableWeakReference.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,43
guava,v5.0,v6.0,F:/corpus/guava/guava#2010-06-03-08-26-58#v5.0#1ab3ec7/src/com/google/common/base/Function.java,F:/corpus/guava/guava#2010-07-09-05-54-56#v6.0#9b62975/src/com/google/common/base/Function.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,68
guava,v5.0,v6.0,F:/corpus/guava/guava#2010-06-03-08-26-58#v5.0#1ab3ec7/src/com/google/common/base/Functions.java,F:/corpus/guava/guava#2010-07-09-05-54-56#v6.0#9b62975/src/com/google/common/base/Functions.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,286
