projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
guava,v7.0,v8.0,F:/corpus/guava/guava#2010-09-23-03-12-43#v7.0#13bc6c9/gwt-super/com/google/common/base/super/com/google/common/base/Predicates.java,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-super/com/google/common/base/super/com/google/common/base/Predicates.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,2,0,0,2,0,42,501
guava,v7.0,v8.0,F:/corpus/guava/guava#2010-09-23-03-12-43#v7.0#13bc6c9/gwt-super/com/google/common/base/super/com/google/common/base/Splitter.java,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-super/com/google/common/base/super/com/google/common/base/Splitter.java,0,0,0,0,3,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,28,403
guava,v7.0,v8.0,F:/corpus/guava/guava#2010-09-23-03-12-43#v7.0#13bc6c9/gwt-super/com/google/common/collect/super/com/google/common/collect/GenericMapMaker.java,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-super/com/google/common/collect/super/com/google/common/collect/GenericMapMaker.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,73
guava,v7.0,v8.0,F:/corpus/guava/guava#2010-09-23-03-12-43#v7.0#13bc6c9/src/com/google/common/collect/ExpirationTimer.java,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-super/com/google/common/collect/super/com/google/common/collect/ImmutableAsList.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,5,26
guava,v7.0,v8.0,F:/corpus/guava/guava#2010-09-23-03-12-43#v7.0#13bc6c9/gwt-super/com/google/common/collect/super/com/google/common/collect/ImmutableCollection.java,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-super/com/google/common/collect/super/com/google/common/collect/ImmutableCollection.java,0,0,1,0,7,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,173
guava,v7.0,v8.0,F:/corpus/guava/guava#2010-09-23-03-12-43#v7.0#13bc6c9/gwt-super/com/google/common/collect/super/com/google/common/collect/ImmutableListMultimap.java,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-super/com/google/common/collect/super/com/google/common/collect/ImmutableListMultimap.java,0,0,0,0,2,0,0,0,0,0,2,0,0,YES,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,289
guava,v7.0,v8.0,F:/corpus/guava/guava#2010-09-23-03-12-43#v7.0#13bc6c9/gwt-super/com/google/common/collect/super/com/google/common/collect/ImmutableMultimap.java,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-super/com/google/common/collect/super/com/google/common/collect/ImmutableMultimap.java,0,0,0,0,7,0,0,0,0,0,2,0,0,YES,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,52,519
guava,v7.0,v8.0,F:/corpus/guava/guava#2010-09-23-03-12-43#v7.0#13bc6c9/gwt-super/com/google/common/collect/super/com/google/common/collect/ImmutableMultiset.java,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-super/com/google/common/collect/super/com/google/common/collect/ImmutableMultiset.java,0,0,0,0,4,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,574
guava,v7.0,v8.0,F:/corpus/guava/guava#2010-09-23-03-12-43#v7.0#13bc6c9/gwt-super/com/google/common/collect/super/com/google/common/collect/ImmutableSetMultimap.java,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-super/com/google/common/collect/super/com/google/common/collect/ImmutableSetMultimap.java,0,0,0,0,2,0,0,0,0,0,2,0,0,YES,0,0,0,1,3,1,0,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,7,0,1,2,0,90,337
guava,v7.0,v8.0,F:/corpus/guava/guava#2010-09-23-03-12-43#v7.0#13bc6c9/gwt-super/com/google/common/collect/super/com/google/common/collect/Iterables.java,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-super/com/google/common/collect/super/com/google/common/collect/Iterables.java,0,0,0,0,1,0,0,0,0,0,0,1,0,YES,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,43,918
