projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/ByFunctionOrdering_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/ByFunctionOrdering_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/ComparatorOrdering_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/ComparatorOrdering_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/CompoundOrdering_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/CompoundOrdering_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/EmptyImmutableListMultimap_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/EmptyImmutableListMultimap_CustomFieldSerializer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/EmptyImmutableList_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/EmptyImmutableList_CustomFieldSerializer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/EmptyImmutableMap_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/EmptyImmutableMap_CustomFieldSerializer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/EmptyImmutableMultiset_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/EmptyImmutableMultiset_CustomFieldSerializer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/EmptyImmutableSetMultimap_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/EmptyImmutableSetMultimap_CustomFieldSerializer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/EmptyImmutableSet_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/EmptyImmutableSet_CustomFieldSerializer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/EmptyImmutableSortedSet_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/EmptyImmutableSortedSet_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/ExplicitOrderedImmutableSortedSet_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/ExplicitOrderedImmutableSortedSet_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/ExplicitOrdering_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/ExplicitOrdering_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/GwtSerializationDependencies.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/GwtSerializationDependencies.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,126
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/HashBasedTable_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/HashBasedTable_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/HashMultimap_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/HashMultimap_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/HashMultiset_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/HashMultiset_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/ImmutableAsList_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/ImmutableAsList_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/ImmutableEntry_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/ImmutableEntry_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/ImmutableEnumSet_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/ImmutableEnumSet_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/ImmutableListMultimap_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/ImmutableListMultimap_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/ImmutableList_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/ImmutableList_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/ImmutableMultiset_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/ImmutableMultiset_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/ImmutableSetMultimap_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/ImmutableSetMultimap_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/ImmutableSet_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/ImmutableSet_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/ImmutableSortedMap_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/ImmutableSortedMap_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/ImmutableSortedSet_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/ImmutableSortedSet_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/LexicographicalOrdering_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/LexicographicalOrdering_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/LinkedHashMultimap_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/LinkedHashMultimap_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/LinkedHashMultiset_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/LinkedHashMultiset_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/LinkedListMultimap_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/LinkedListMultimap_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/Multimap_CustomFieldSerializerBase.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/Multimap_CustomFieldSerializerBase.java,0,0,0,0,0,0,0,0,0,0,0,1,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/Multiset_CustomFieldSerializerBase.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/Multiset_CustomFieldSerializerBase.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/NaturalOrdering_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/NaturalOrdering_CustomFieldSerializer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/NullsFirstOrdering_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/NullsFirstOrdering_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/NullsLastOrdering_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/NullsLastOrdering_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/RegularImmutableBiMap_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/RegularImmutableBiMap_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56
guava,v8.0,v9.0,F:/corpus/guava/guava#2011-02-01-01-56-14#v8.0#0bb8549/gwt-src/com/google/common/collect/RegularImmutableList_CustomFieldSerializer.java,F:/corpus/guava/guava#2011-04-08-22-35-37#v9.0#28d17c4/gwt-src/com/google/common/collect/RegularImmutableList_CustomFieldSerializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56
