projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
guava,v11.0,v12.0,F:/corpus/guava/guava#2011-12-18-01-04-57#v11.0#5a6bf80/guava-gwt/src-super/com/google/common/base/super/com/google/common/base/Splitter.java,F:/corpus/guava/guava#2012-05-01-02-04-06#v12.0#72d2812/guava-gwt/src-super/com/google/common/base/super/com/google/common/base/Splitter.java,0,0,0,0,2,0,0,0,0,0,0,1,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,3,1,0,28,481
guava,v11.0,v12.0,F:/corpus/guava/guava#2011-12-18-01-04-57#v11.0#5a6bf80/guava-gwt/src-super/com/google/common/cache/super/com/google/common/cache/CacheBuilder.java,F:/corpus/guava/guava#2012-05-01-02-04-06#v12.0#72d2812/guava-gwt/src-super/com/google/common/cache/super/com/google/common/cache/CacheBuilder.java,0,0,0,0,3,0,0,0,0,0,0,4,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,321
guava,v11.0,v12.0,F:/corpus/guava/guava#2011-12-18-01-04-57#v11.0#5a6bf80/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/AbstractBiMap.java,F:/corpus/guava/guava#2012-05-01-02-04-06#v12.0#72d2812/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/AbstractBiMap.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,65,383
guava,v11.0,v12.0,F:/corpus/guava/guava#2011-12-18-01-04-57#v11.0#5a6bf80/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/AbstractMapBasedMultiset.java,F:/corpus/guava/guava#2012-05-01-02-04-06#v12.0#72d2812/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/AbstractMapBasedMultiset.java,0,0,0,0,1,5,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,8,2,0,0,0,0,0,0,2,0,0,0,2,0,88,395
guava,v11.0,v12.0,F:/corpus/guava/guava#2011-12-18-01-04-57#v11.0#5a6bf80/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/ArrayListMultimap.java,F:/corpus/guava/guava#2012-05-01-02-04-06#v12.0#72d2812/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/ArrayListMultimap.java,0,0,0,0,0,0,0,0,0,0,0,1,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,134
guava,v11.0,v12.0,F:/corpus/guava/guava#2011-12-18-01-04-57#v11.0#5a6bf80/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/EmptyContiguousSet.java,F:/corpus/guava/guava#2012-05-01-02-04-06#v12.0#72d2812/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/EmptyContiguousSet.java,0,0,0,0,6,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,109
guava,v11.0,v12.0,F:/corpus/guava/guava#2011-12-18-01-04-57#v11.0#5a6bf80/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/EmptyImmutableList.java,F:/corpus/guava/guava#2012-05-01-02-04-06#v12.0#72d2812/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/EmptyImmutableList.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,26
guava,v11.0,v12.0,F:/corpus/guava/guava#2011-12-18-01-04-57#v11.0#5a6bf80/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/EmptyImmutableSortedSet.java,F:/corpus/guava/guava#2012-05-01-02-04-06#v12.0#72d2812/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/EmptyImmutableSortedSet.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,30
guava,v11.0,v12.0,F:/corpus/guava/guava#2011-12-18-01-04-57#v11.0#5a6bf80/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/EnumBiMap.java,F:/corpus/guava/guava#2012-05-01-02-04-06#v12.0#72d2812/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/EnumBiMap.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,105
guava,v11.0,v12.0,F:/corpus/guava/guava#2011-12-18-01-04-57#v11.0#5a6bf80/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/EnumHashBiMap.java,F:/corpus/guava/guava#2012-05-01-02-04-06#v12.0#72d2812/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/EnumHashBiMap.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,90
