projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
guava,v13.0,v14.0,F:/corpus/guava/guava#2012-08-03-04-19-28#v13.0#c851167/guava-gwt/src-super/com/google/common/base/super/com/google/common/base/Splitter.java,F:/corpus/guava/guava#2013-02-26-02-43-45#v14.0#a3c71e0/guava-gwt/src-super/com/google/common/base/super/com/google/common/base/Splitter.java,0,0,0,0,2,0,0,0,0,0,0,1,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,513
guava,v13.0,v14.0,F:/corpus/guava/guava#2012-08-03-04-19-28#v13.0#c851167/guava-gwt/src-super/com/google/common/base/super/com/google/common/base/Stopwatch.java,F:/corpus/guava/guava#2013-02-26-02-43-45#v14.0#a3c71e0/guava-gwt/src-super/com/google/common/base/super/com/google/common/base/Stopwatch.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,25,196
guava,v13.0,v14.0,F:/corpus/guava/guava#2012-08-03-04-19-28#v13.0#c851167/guava-gwt/src-super/com/google/common/cache/super/com/google/common/cache/CacheBuilder.java,F:/corpus/guava/guava#2013-02-26-02-43-45#v14.0#a3c71e0/guava-gwt/src-super/com/google/common/cache/super/com/google/common/cache/CacheBuilder.java,0,0,0,0,3,0,0,0,0,0,0,5,0,YES,0,0,0,0,22,21,0,0,0,0,0,1,0,0,0,0,0,0,7,1,4,0,1,1,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,0,4,7,0,0,5,0,689,321
guava,v13.0,v14.0,F:/corpus/guava/guava#2012-08-03-04-19-28#v13.0#c851167/guava-gwt/src-super/com/google/common/cache/super/com/google/common/cache/CacheLoader.java,F:/corpus/guava/guava#2013-02-26-02-43-45#v14.0#a3c71e0/guava-gwt/src-super/com/google/common/cache/super/com/google/common/cache/CacheLoader.java,0,0,0,0,3,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,166
guava,v13.0,v14.0,F:/corpus/guava/guava#2012-08-03-04-19-28#v13.0#c851167/guava-gwt/src-super/com/google/common/cache/super/com/google/common/cache/LongAdder.java,F:/corpus/guava/guava#2013-02-26-02-43-45#v14.0#a3c71e0/guava-gwt/src-super/com/google/common/cache/super/com/google/common/cache/LongAdder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40
guava,v13.0,v14.0,F:/corpus/guava/guava#2012-08-03-04-19-28#v13.0#c851167/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/AbstractBiMap.java,F:/corpus/guava/guava#2013-02-26-02-43-45#v14.0#a3c71e0/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/AbstractBiMap.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,373
guava,v13.0,v14.0,F:/corpus/guava/guava#2012-08-03-04-19-28#v13.0#c851167/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/AbstractMapBasedMultiset.java,F:/corpus/guava/guava#2013-02-26-02-43-45#v14.0#a3c71e0/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/AbstractMapBasedMultiset.java,0,0,0,0,1,4,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5,0,0,2,1,0,26,315
guava,v13.0,v14.0,F:/corpus/guava/guava#2012-08-03-04-19-28#v13.0#c851167/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/ContiguousSet.java,F:/corpus/guava/guava#2013-02-26-02-43-45#v14.0#a3c71e0/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/ContiguousSet.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,142
guava,v13.0,v14.0,F:/corpus/guava/guava#2012-08-03-04-19-28#v13.0#c851167/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/EnumMultiset.java,F:/corpus/guava/guava#2013-02-26-02-43-45#v14.0#a3c71e0/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/EnumMultiset.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,66
guava,v13.0,v14.0,F:/corpus/guava/guava#2012-08-03-04-19-28#v13.0#c851167/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/FluentIterable.java,F:/corpus/guava/guava#2013-02-26-02-43-45#v14.0#a3c71e0/guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/FluentIterable.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,124,376
