projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
hbase,0.90.1,0.92.0,F:/corpus/hbase/hbase#2011-02-18-09-37-19#0.90.1#ed25749/src/main/java/org/apache/hadoop/hbase/Chore.java,F:/corpus/hbase/hbase#2012-01-24-00-49-27#0.92.0#6ba4e7c/src/main/java/org/apache/hadoop/hbase/Chore.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,112
hbase,0.90.1,0.92.0,F:/corpus/hbase/hbase#2011-02-18-09-37-19#0.90.1#ed25749/src/main/java/org/apache/hadoop/hbase/ClusterStatus.java,F:/corpus/hbase/hbase#2012-01-24-00-49-27#0.92.0#6ba4e7c/src/main/java/org/apache/hadoop/hbase/ClusterStatus.java,0,0,0,0,0,3,0,0,0,0,0,0,0,YES,0,0,0,0,5,3,0,0,0,1,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,11,22,0,2,10,0,81,243
hbase,0.90.1,0.92.0,F:/corpus/hbase/hbase#2011-02-18-09-37-19#0.90.1#ed25749/src/main/java/org/apache/hadoop/hbase/HBaseConfiguration.java,F:/corpus/hbase/hbase#2012-01-24-00-49-27#0.92.0#6ba4e7c/src/main/java/org/apache/hadoop/hbase/HBaseConfiguration.java,0,0,0,0,0,0,0,0,0,0,0,2,0,YES,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,45,102
hbase,0.90.1,0.92.0,F:/corpus/hbase/hbase#2011-02-18-09-37-19#0.90.1#ed25749/src/main/java/org/apache/hadoop/hbase/HColumnDescriptor.java,F:/corpus/hbase/hbase#2012-01-24-00-49-27#0.92.0#6ba4e7c/src/main/java/org/apache/hadoop/hbase/HColumnDescriptor.java,0,0,0,0,0,0,0,0,0,0,1,1,0,YES,0,0,0,0,4,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,2,0,0,0,122,696
hbase,0.90.1,0.92.0,F:/corpus/hbase/hbase#2011-02-18-09-37-19#0.90.1#ed25749/src/main/java/org/apache/hadoop/hbase/HConstants.java,F:/corpus/hbase/hbase#2012-01-24-00-49-27#0.92.0#6ba4e7c/src/main/java/org/apache/hadoop/hbase/HConstants.java,1,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,370
hbase,0.90.1,0.92.0,F:/corpus/hbase/hbase#2011-02-18-09-37-19#0.90.1#ed25749/src/main/java/org/apache/hadoop/hbase/HRegionInfo.java,F:/corpus/hbase/hbase#2012-01-24-00-49-27#0.92.0#6ba4e7c/src/main/java/org/apache/hadoop/hbase/HRegionInfo.java,0,0,0,0,0,0,0,0,0,0,0,12,0,YES,0,0,0,0,5,2,0,2,0,0,0,0,4,0,0,1,0,0,0,6,1,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,58,1,9,9,0,91,669
hbase,0.90.1,0.92.0,F:/corpus/hbase/hbase#2011-02-18-09-37-19#0.90.1#ed25749/src/main/java/org/apache/hadoop/hbase/HRegionLocation.java,F:/corpus/hbase/hbase#2012-01-24-00-49-27#0.92.0#6ba4e7c/src/main/java/org/apache/hadoop/hbase/HRegionLocation.java,0,0,0,0,0,0,0,0,0,0,0,2,0,YES,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,9,0,1,2,0,24,99
hbase,0.90.1,0.92.0,F:/corpus/hbase/hbase#2011-02-18-09-37-19#0.90.1#ed25749/src/main/java/org/apache/hadoop/hbase/HServerAddress.java,F:/corpus/hbase/hbase#2012-01-24-00-49-27#0.92.0#6ba4e7c/src/main/java/org/apache/hadoop/hbase/HServerAddress.java,0,0,0,0,0,1,0,0,0,0,0,5,0,YES,0,0,0,0,4,1,2,0,0,0,0,0,1,0,0,3,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,22,6,0,2,9,0,84,193
hbase,0.90.1,0.92.0,F:/corpus/hbase/hbase#2011-02-18-09-37-19#0.90.1#ed25749/src/main/java/org/apache/hadoop/hbase/HServerInfo.java,F:/corpus/hbase/hbase#2012-01-24-00-49-27#0.92.0#6ba4e7c/src/main/java/org/apache/hadoop/hbase/HServerInfo.java,0,0,0,0,0,0,0,0,0,0,0,4,0,YES,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,4,2,1,0,0,0,0,1,0,0,0,1,10,5,0,0,0,0,0,0,13,17,2,0,6,0,185,282
hbase,0.90.1,0.92.0,F:/corpus/hbase/hbase#2011-02-18-09-37-19#0.90.1#ed25749/src/main/java/org/apache/hadoop/hbase/HServerLoad.java,F:/corpus/hbase/hbase#2012-01-24-00-49-27#0.92.0#6ba4e7c/src/main/java/org/apache/hadoop/hbase/HServerLoad.java,1,0,0,0,0,0,0,0,0,0,0,1,0,YES,0,0,0,0,14,14,0,0,1,0,0,0,0,0,0,4,0,0,0,6,0,1,1,9,0,0,0,1,0,1,0,0,0,0,7,1,0,0,0,1,0,1,8,81,1,1,11,0,299,493
