projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
hbase,0.95.1,0.96.0,F:/corpus/hbase/hbase#2013-06-12-12-00-24#0.95.1#7894935/hbase-client/src/main/java/org/apache/hadoop/hbase/catalog/CatalogTracker.java,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/catalog/CatalogTracker.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,17,432
hbase,0.95.1,0.96.0,F:/corpus/hbase/hbase#2013-06-12-12-00-24#0.95.1#7894935/hbase-client/src/main/java/org/apache/hadoop/hbase/catalog/MetaReader.java,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/catalog/MetaReader.java,0,0,1,0,2,2,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,41,612
hbase,0.95.1,0.96.0,F:/corpus/hbase/hbase#2013-06-12-12-00-24#0.95.1#7894935/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AbstractClientScanner.java,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AbstractClientScanner.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,77
hbase,0.95.1,0.96.0,F:/corpus/hbase/hbase#2013-06-12-12-00-24#0.95.1#7894935/hbase-client/src/main/java/org/apache/hadoop/hbase/client/Action.java,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/client/Action.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,11,77
hbase,0.95.1,0.96.0,F:/corpus/hbase/hbase#2013-06-12-12-00-24#0.95.1#7894935/hbase-client/src/main/java/org/apache/hadoop/hbase/client/Append.java,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/client/Append.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5,118
hbase,0.95.1,0.96.0,F:/corpus/hbase/hbase#2013-06-12-12-00-24#0.95.1#7894935/hbase-client/src/main/java/org/apache/hadoop/hbase/client/Attributes.java,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/client/Attributes.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,51
hbase,0.95.1,0.96.0,F:/corpus/hbase/hbase#2013-06-12-12-00-24#0.95.1#7894935/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ClientScanner.java,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ClientScanner.java,0,0,0,0,0,0,0,0,0,1,0,0,0,YES,0,0,0,0,5,1,2,0,0,1,0,4,3,1,0,6,0,0,1,2,12,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25,7,0,11,12,0,102,418
hbase,0.95.1,0.96.0,F:/corpus/hbase/hbase#2013-06-12-12-00-24#0.95.1#7894935/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ClusterStatusListener.java,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ClusterStatusListener.java,0,0,1,0,4,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,246
hbase,0.95.1,0.96.0,F:/corpus/hbase/hbase#2013-06-12-12-00-24#0.95.1#7894935/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ConnectionUtils.java,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ConnectionUtils.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,67
hbase,0.95.1,0.96.0,F:/corpus/hbase/hbase#2013-06-12-12-00-24#0.95.1#7894935/hbase-client/src/main/java/org/apache/hadoop/hbase/client/Delete.java,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/client/Delete.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,7,0,63,282
