projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
hbase,0.96.0,0.98.0,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/catalog/MetaReader.java,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/catalog/MetaReader.java,0,0,1,0,2,2,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,1,0,5,612
hbase,0.96.0,0.98.0,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AbstractClientScanner.java,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AbstractClientScanner.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,75
hbase,0.96.0,0.98.0,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/client/Action.java,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/Action.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,67
hbase,0.96.0,0.98.0,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncProcess.java,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncProcess.java,0,0,1,0,2,3,0,1,0,1,0,0,0,YES,0,0,0,0,3,4,5,3,0,1,0,4,13,3,0,6,0,0,0,5,0,1,3,3,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,43,64,1,14,27,0,252,841
hbase,0.96.0,0.98.0,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ClientScanner.java,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ClientScanner.java,0,0,0,0,0,0,0,0,0,1,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,35,473
hbase,0.96.0,0.98.0,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ClusterStatusListener.java,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ClusterStatusListener.java,0,0,1,0,4,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,28,247
hbase,0.96.0,0.98.0,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/client/Get.java,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/Get.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,18,432
hbase,0.96.0,0.98.0,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/client/HBaseAdmin.java,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/HBaseAdmin.java,0,1,0,0,2,2,0,2,0,0,0,0,1,YES,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,1,1,12,0,84,3154
hbase,0.96.0,0.98.0,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/client/HConnection.java,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/HConnection.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,516
hbase,0.96.0,0.98.0,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/client/HConnectionKey.java,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/HConnectionKey.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,140
hbase,0.96.0,0.98.0,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/client/coprocessor/BigDecimalColumnInterpreter.java,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/coprocessor/BigDecimalColumnInterpreter.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,146
hbase,0.96.0,0.98.0,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/hbase-client/src/main/java/org/apache/hadoop/hbase/client/coprocessor/SecureBulkLoadClient.java,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/coprocessor/SecureBulkLoadClient.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,179
hbase,0.96.0,0.98.0,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/dev-support/jenkins-tools/buildstats/src/main/java/org/apache/hadoop/hbase/devtools/buildstats/BuildResultWithTestCaseDetails.java,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/dev-support/jenkins-tools/buildstats/src/main/java/org/apache/hadoop/hbase/devtools/buildstats/BuildResultWithTestCaseDetails.java,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
hbase,0.96.0,0.98.0,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/dev-support/jenkins-tools/buildstats/src/main/java/org/apache/hadoop/hbase/devtools/buildstats/HistoryReport.java,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/dev-support/jenkins-tools/buildstats/src/main/java/org/apache/hadoop/hbase/devtools/buildstats/HistoryReport.java,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
hbase,0.96.0,0.98.0,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/dev-support/jenkins-tools/buildstats/src/main/java/org/apache/hadoop/hbase/devtools/buildstats/TestCaseResult.java,F:/corpus/hbase/hbase#2013-10-19-23-52-30#0.96.0#bf339d9/dev-support/jenkins-tools/buildstats/src/main/java/org/apache/hadoop/hbase/devtools/buildstats/TestCaseResult.java,1,0,0,0,0,0,0,0,0,0,0,0,0,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
