projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
hbase,0.98.0,0.99.0,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/Append.java,F:/corpus/hbase/hbase#2014-09-17-03-40-37#0.99.0#757a095/hbase-client/src/main/java/org/apache/hadoop/hbase/client/Append.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,71,117
hbase,0.98.0,0.99.0,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncProcess.java,F:/corpus/hbase/hbase#2014-09-17-03-40-37#0.99.0#757a095/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncProcess.java,0,0,1,0,2,4,0,0,0,0,1,0,0,YES,0,0,0,3,11,5,2,0,2,1,0,5,1,0,0,0,1,1,1,3,2,0,3,7,2,0,1,0,0,0,0,0,0,1,16,5,1,0,0,1,0,1,37,18,0,2,10,1,668,953
hbase,0.98.0,0.99.0,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/Attributes.java,F:/corpus/hbase/hbase#2014-09-17-03-40-37#0.99.0#757a095/hbase-client/src/main/java/org/apache/hadoop/hbase/client/Attributes.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,51
hbase,0.98.0,0.99.0,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ClientIdGenerator.java,F:/corpus/hbase/hbase#2014-09-17-03-40-37#0.99.0#757a095/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ClientIdGenerator.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,17,108
hbase,0.98.0,0.99.0,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ClientScanner.java,F:/corpus/hbase/hbase#2014-09-17-03-40-37#0.99.0#757a095/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ClientScanner.java,0,0,0,0,0,0,0,0,0,1,0,0,0,YES,0,0,0,0,8,5,0,0,0,2,0,0,6,2,1,1,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,8,26,1,2,1,0,133,442
hbase,0.98.0,0.99.0,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ClientSmallScanner.java,F:/corpus/hbase/hbase#2014-09-17-03-40-37#0.99.0#757a095/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ClientSmallScanner.java,0,0,0,1,0,0,0,1,1,0,0,0,0,YES,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,2,0,68,246
hbase,0.98.0,0.99.0,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ClusterStatusListener.java,F:/corpus/hbase/hbase#2014-09-17-03-40-37#0.99.0#757a095/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ClusterStatusListener.java,0,0,1,0,4,0,0,0,0,0,0,0,0,YES,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,8,0,2,4,0,79,251
hbase,0.98.0,0.99.0,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ConnectionUtils.java,F:/corpus/hbase/hbase#2014-09-17-03-40-37#0.99.0#757a095/hbase-client/src/main/java/org/apache/hadoop/hbase/client/ConnectionUtils.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,64
hbase,0.98.0,0.99.0,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/DelegatingRetryingCallable.java,F:/corpus/hbase/hbase#2014-09-17-03-40-37#0.99.0#757a095/hbase-client/src/main/java/org/apache/hadoop/hbase/client/DelegatingRetryingCallable.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,54
hbase,0.98.0,0.99.0,F:/corpus/hbase/hbase#2014-02-22-02-53-34#0.98.0#96692a8/hbase-client/src/main/java/org/apache/hadoop/hbase/client/Delete.java,F:/corpus/hbase/hbase#2014-09-17-03-40-37#0.99.0#757a095/hbase-client/src/main/java/org/apache/hadoop/hbase/client/Delete.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,64,323
