projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
hbase,1.1.0,1.2.0,F:/corpus/hbase/hbase#2015-05-12-09-33-44#1.1.0#e860c66/hbase-client/src/main/java/org/apache/hadoop/hbase/Coprocessor.java,F:/corpus/hbase/hbase#2016-02-19-12-09-39#1.2.0#25b2819/hbase-client/src/main/java/org/apache/hadoop/hbase/Coprocessor.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,55
hbase,1.1.0,1.2.0,F:/corpus/hbase/hbase#2015-05-12-09-33-44#1.1.0#e860c66/hbase-client/src/main/java/org/apache/hadoop/hbase/CoprocessorEnvironment.java,F:/corpus/hbase/hbase#2016-02-19-12-09-39#1.2.0#25b2819/hbase-client/src/main/java/org/apache/hadoop/hbase/CoprocessorEnvironment.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,66
hbase,1.1.0,1.2.0,F:/corpus/hbase/hbase#2015-05-12-09-33-44#1.1.0#e860c66/hbase-client/src/main/java/org/apache/hadoop/hbase/DroppedSnapshotException.java,F:/corpus/hbase/hbase#2016-02-19-12-09-39#1.2.0#25b2819/hbase-client/src/main/java/org/apache/hadoop/hbase/DroppedSnapshotException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,46
hbase,1.1.0,1.2.0,F:/corpus/hbase/hbase#2015-05-12-09-33-44#1.1.0#e860c66/hbase-client/src/main/java/org/apache/hadoop/hbase/HColumnDescriptor.java,F:/corpus/hbase/hbase#2016-02-19-12-09-39#1.2.0#25b2819/hbase-client/src/main/java/org/apache/hadoop/hbase/HColumnDescriptor.java,0,1,0,0,2,0,0,0,0,0,2,21,0,YES,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,7,0,74,1505
hbase,1.1.0,1.2.0,F:/corpus/hbase/hbase#2015-05-12-09-33-44#1.1.0#e860c66/hbase-client/src/main/java/org/apache/hadoop/hbase/HRegionInfo.java,F:/corpus/hbase/hbase#2016-02-19-12-09-39#1.2.0#25b2819/hbase-client/src/main/java/org/apache/hadoop/hbase/HRegionInfo.java,0,1,0,0,0,0,0,0,0,0,0,26,0,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,18,1375
hbase,1.1.0,1.2.0,F:/corpus/hbase/hbase#2015-05-12-09-33-44#1.1.0#e860c66/hbase-client/src/main/java/org/apache/hadoop/hbase/HTableDescriptor.java,F:/corpus/hbase/hbase#2016-02-19-12-09-39#1.2.0#25b2819/hbase-client/src/main/java/org/apache/hadoop/hbase/HTableDescriptor.java,0,1,0,0,0,0,0,0,0,0,0,25,0,YES,0,0,0,0,7,3,0,0,0,0,0,4,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,9,0,0,1,0,139,1664
hbase,1.1.0,1.2.0,F:/corpus/hbase/hbase#2015-05-12-09-33-44#1.1.0#e860c66/hbase-client/src/main/java/org/apache/hadoop/hbase/MetaTableAccessor.java,F:/corpus/hbase/hbase#2016-02-19-12-09-39#1.2.0#25b2819/hbase-client/src/main/java/org/apache/hadoop/hbase/MetaTableAccessor.java,0,1,1,0,1,7,0,0,0,0,0,13,0,YES,0,0,0,0,4,0,0,0,0,0,0,2,3,0,1,0,0,0,0,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,0,0,16,0,84,1480
hbase,1.1.0,1.2.0,F:/corpus/hbase/hbase#2015-05-12-09-33-44#1.1.0#e860c66/hbase-client/src/main/java/org/apache/hadoop/hbase/RegionTransition.java,F:/corpus/hbase/hbase#2016-02-19-12-09-39#1.2.0#25b2819/hbase-client/src/main/java/org/apache/hadoop/hbase/RegionTransition.java,0,0,0,0,0,0,0,0,0,0,0,3,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,7,139
hbase,1.1.0,1.2.0,F:/corpus/hbase/hbase#2015-05-12-09-33-44#1.1.0#e860c66/hbase-client/src/main/java/org/apache/hadoop/hbase/ServerName.java,F:/corpus/hbase/hbase#2016-02-19-12-09-39#1.2.0#25b2819/hbase-client/src/main/java/org/apache/hadoop/hbase/ServerName.java,0,0,0,0,0,0,0,0,0,0,0,15,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,402
hbase,1.1.0,1.2.0,F:/corpus/hbase/hbase#2015-05-12-09-33-44#1.1.0#e860c66/hbase-client/src/main/java/org/apache/hadoop/hbase/TableExistsException.java,F:/corpus/hbase/hbase#2016-02-19-12-09-39#1.2.0#25b2819/hbase-client/src/main/java/org/apache/hadoop/hbase/TableExistsException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,45
hbase,1.1.0,1.2.0,F:/corpus/hbase/hbase#2015-05-12-09-33-44#1.1.0#e860c66/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AbstractClientScanner.java,F:/corpus/hbase/hbase#2016-02-19-12-09-39#1.2.0#25b2819/hbase-client/src/main/java/org/apache/hadoop/hbase/client/AbstractClientScanner.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,127
