projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
hibernate,5.1.9,5.2.0,F:/corpus/hibernate/hibernate#2017-07-25-16-27-09#5.1.9#bd44fb3/hibernate-core/src/main/java/org/hibernate/BasicQueryContract.java,F:/corpus/hibernate/hibernate#2016-06-02-12-20-15#5.2.0#47bd722/hibernate-core/src/main/java/org/hibernate/BasicQueryContract.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,48,212
hibernate,5.1.9,5.2.0,F:/corpus/hibernate/hibernate#2017-07-25-16-27-09#5.1.9#bd44fb3/hibernate-core/src/main/java/org/hibernate/Cache.java,F:/corpus/hibernate/hibernate#2016-06-02-12-20-15#5.2.0#47bd722/hibernate-core/src/main/java/org/hibernate/Cache.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,178
hibernate,5.1.9,5.2.0,F:/corpus/hibernate/hibernate#2017-07-25-16-27-09#5.1.9#bd44fb3/hibernate-core/src/main/java/org/hibernate/CallbackException.java,F:/corpus/hibernate/hibernate#2016-06-02-12-20-15#5.2.0#47bd722/hibernate-core/src/main/java/org/hibernate/CallbackException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46
hibernate,5.1.9,5.2.0,F:/corpus/hibernate/hibernate#2017-07-25-16-27-09#5.1.9#bd44fb3/hibernate-core/src/main/java/org/hibernate/ConnectionAcquisitionMode.java,F:/corpus/hibernate/hibernate#2016-06-02-12-20-15#5.2.0#47bd722/hibernate-core/src/main/java/org/hibernate/ConnectionAcquisitionMode.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,35
hibernate,5.1.9,5.2.0,F:/corpus/hibernate/hibernate#2017-07-25-16-27-09#5.1.9#bd44fb3/hibernate-core/src/main/java/org/hibernate/ConnectionReleaseMode.java,F:/corpus/hibernate/hibernate#2016-06-02-12-20-15#5.2.0#47bd722/hibernate-core/src/main/java/org/hibernate/ConnectionReleaseMode.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,51
hibernate,5.1.9,5.2.0,F:/corpus/hibernate/hibernate#2017-07-25-16-27-09#5.1.9#bd44fb3/hibernate-core/src/main/java/org/hibernate/Criteria.java,F:/corpus/hibernate/hibernate#2016-06-02-12-20-15#5.2.0#47bd722/hibernate-core/src/main/java/org/hibernate/Criteria.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,566
hibernate,5.1.9,5.2.0,F:/corpus/hibernate/hibernate#2017-07-25-16-27-09#5.1.9#bd44fb3/hibernate-core/src/main/java/org/hibernate/CustomEntityDirtinessStrategy.java,F:/corpus/hibernate/hibernate#2016-06-02-12-20-15#5.2.0#47bd722/hibernate-core/src/main/java/org/hibernate/CustomEntityDirtinessStrategy.java,0,0,0,0,3,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,157
hibernate,5.1.9,5.2.0,F:/corpus/hibernate/hibernate#2017-07-25-16-27-09#5.1.9#bd44fb3/hibernate-core/src/main/java/org/hibernate/Filter.java,F:/corpus/hibernate/hibernate#2016-06-02-12-20-15#5.2.0#47bd722/hibernate-core/src/main/java/org/hibernate/Filter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72
hibernate,5.1.9,5.2.0,F:/corpus/hibernate/hibernate#2017-07-25-16-27-09#5.1.9#bd44fb3/hibernate-core/src/main/java/org/hibernate/FlushMode.java,F:/corpus/hibernate/hibernate#2016-06-02-12-20-15#5.2.0#47bd722/hibernate-core/src/main/java/org/hibernate/FlushMode.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,113
hibernate,5.1.9,5.2.0,F:/corpus/hibernate/hibernate#2017-07-25-16-27-09#5.1.9#bd44fb3/hibernate-core/src/main/java/org/hibernate/Hibernate.java,F:/corpus/hibernate/hibernate#2016-06-02-12-20-15#5.2.0#47bd722/hibernate-core/src/main/java/org/hibernate/Hibernate.java,0,0,0,0,0,2,0,0,0,0,0,3,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,183
