projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
hive,release-0.4.0,release-0.6.0,F:/corpus/hive/hive#2010-10-27-04-21-54#release-0.4.0#7737f2f/cli/src/java/org/apache/hadoop/hive/cli/CliDriver.java,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/cli/src/java/org/apache/hadoop/hive/cli/CliDriver.java,0,0,0,0,0,0,0,0,0,1,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,87,300
hive,release-0.4.0,release-0.6.0,F:/corpus/hive/hive#2010-10-27-04-21-54#release-0.4.0#7737f2f/cli/src/java/org/apache/hadoop/hive/cli/CliSessionState.java,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/cli/src/java/org/apache/hadoop/hive/cli/CliSessionState.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,55
hive,release-0.4.0,release-0.6.0,F:/corpus/hive/hive#2010-10-27-04-21-54#release-0.4.0#7737f2f/cli/src/java/org/apache/hadoop/hive/cli/OptionsProcessor.java,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/cli/src/java/org/apache/hadoop/hive/cli/OptionsProcessor.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,96,231
hive,release-0.4.0,release-0.6.0,F:/corpus/hive/hive#2010-10-27-04-21-54#release-0.4.0#7737f2f/common/src/java/org/apache/hadoop/hive/common/FileUtils.java,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/common/src/java/org/apache/hadoop/hive/common/FileUtils.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,5,1,0,2,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,3,0,0,34,79
hive,release-0.4.0,release-0.6.0,F:/corpus/hive/hive#2010-10-27-04-21-54#release-0.4.0#7737f2f/common/src/java/org/apache/hadoop/hive/common/JavaUtils.java,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/common/src/java/org/apache/hadoop/hive/common/JavaUtils.java,0,0,0,0,0,0,0,0,0,0,0,1,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,42
hive,release-0.4.0,release-0.6.0,F:/corpus/hive/hive#2010-10-27-04-21-54#release-0.4.0#7737f2f/common/src/java/org/apache/hadoop/hive/common/io/NonSyncByteArrayInputStream.java,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/common/src/java/org/apache/hadoop/hive/common/io/NonSyncByteArrayInputStream.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,104
hive,release-0.4.0,release-0.6.0,F:/corpus/hive/hive#2010-10-27-04-21-54#release-0.4.0#7737f2f/common/src/java/org/apache/hadoop/hive/common/io/NonSyncByteArrayOutputStream.java,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/common/src/java/org/apache/hadoop/hive/common/io/NonSyncByteArrayOutputStream.java,0,0,0,0,0,0,0,0,0,0,0,1,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,102
hive,release-0.4.0,release-0.6.0,F:/corpus/hive/hive#2010-10-27-04-21-54#release-0.4.0#7737f2f/common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,0,0,0,0,0,4,0,0,0,0,0,5,0,YES,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,416
hive,release-0.4.0,release-0.6.0,F:/corpus/hive/hive#2010-10-27-04-21-54#release-0.4.0#7737f2f/contrib/src/java/org/apache/hadoop/hive/contrib/fileformat/base64/Base64TextInputFormat.java,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/contrib/src/java/org/apache/hadoop/hive/contrib/fileformat/base64/Base64TextInputFormat.java,0,0,1,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,175
hive,release-0.4.0,release-0.6.0,F:/corpus/hive/hive#2010-10-27-04-21-54#release-0.4.0#7737f2f/contrib/src/java/org/apache/hadoop/hive/contrib/fileformat/base64/Base64TextOutputFormat.java,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/contrib/src/java/org/apache/hadoop/hive/contrib/fileformat/base64/Base64TextOutputFormat.java,0,0,1,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,132
