projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
hive,release-0.6.0,release-0.7.0,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/cli/src/java/org/apache/hadoop/hive/cli/CliDriver.java,F:/corpus/hive/hive#2011-03-26-06-47-36#release-0.7.0#5704958/cli/src/java/org/apache/hadoop/hive/cli/CliDriver.java,0,0,0,0,0,0,0,0,0,1,0,0,0,YES,0,0,0,0,3,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,8,6,3,0,165,315
hive,release-0.6.0,release-0.7.0,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/cli/src/java/org/apache/hadoop/hive/cli/CliSessionState.java,F:/corpus/hive/hive#2011-03-26-06-47-36#release-0.7.0#5704958/cli/src/java/org/apache/hadoop/hive/cli/CliSessionState.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,54
hive,release-0.6.0,release-0.7.0,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/cli/src/java/org/apache/hadoop/hive/cli/OptionsProcessor.java,F:/corpus/hive/hive#2011-03-26-06-47-36#release-0.7.0#5704958/cli/src/java/org/apache/hadoop/hive/cli/OptionsProcessor.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,1,0,0,1,1,0,6,4,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,31,20,1,2,9,0,169,229
hive,release-0.6.0,release-0.7.0,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/common/src/java/org/apache/hadoop/hive/common/FileUtils.java,F:/corpus/hive/hive#2011-03-26-06-47-36#release-0.7.0#5704958/common/src/java/org/apache/hadoop/hive/common/FileUtils.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,50,198
hive,release-0.6.0,release-0.7.0,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,F:/corpus/hive/hive#2011-03-26-06-47-36#release-0.7.0#5704958/common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,0,0,0,0,0,4,0,0,0,0,0,7,0,YES,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,172,559
hive,release-0.6.0,release-0.7.0,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/contrib/src/java/org/apache/hadoop/hive/contrib/fileformat/base64/Base64TextInputFormat.java,F:/corpus/hive/hive#2011-03-26-06-47-36#release-0.7.0#5704958/contrib/src/java/org/apache/hadoop/hive/contrib/fileformat/base64/Base64TextInputFormat.java,0,0,1,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,177
hive,release-0.6.0,release-0.7.0,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/contrib/src/java/org/apache/hadoop/hive/contrib/fileformat/base64/Base64TextOutputFormat.java,F:/corpus/hive/hive#2011-03-26-06-47-36#release-0.7.0#5704958/contrib/src/java/org/apache/hadoop/hive/contrib/fileformat/base64/Base64TextOutputFormat.java,0,0,1,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,133
hive,release-0.6.0,release-0.7.0,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/contrib/src/java/org/apache/hadoop/hive/contrib/metastore/hooks/TestURLHook.java,F:/corpus/hive/hive#2011-03-26-06-47-36#release-0.7.0#5704958/contrib/src/java/org/apache/hadoop/hive/contrib/metastore/hooks/TestURLHook.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,30
hive,release-0.6.0,release-0.7.0,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/contrib/src/java/org/apache/hadoop/hive/contrib/serde2/s3/S3LogStruct.java,F:/corpus/hive/hive#2011-03-26-06-47-36#release-0.7.0#5704958/contrib/src/java/org/apache/hadoop/hive/contrib/serde2/s3/S3LogStruct.java,1,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,29
hive,release-0.6.0,release-0.7.0,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/hbase-handler/src/java/org/apache/hadoop/hive/hbase/HBaseSerDe.java,F:/corpus/hive/hive#2011-03-26-06-47-36#release-0.7.0#5704958/hbase-handler/src/java/org/apache/hadoop/hive/hbase/HBaseSerDe.java,0,0,0,0,0,5,0,0,0,1,1,0,0,YES,0,0,0,0,1,8,2,5,2,0,0,1,3,2,4,8,1,0,1,2,0,0,8,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,71,0,15,25,1,201,507
hive,release-0.6.0,release-0.7.0,F:/corpus/hive/hive#2010-10-27-06-49-52#release-0.6.0#2f01e05/hbase-handler/src/java/org/apache/hadoop/hive/hbase/HBaseSplit.java,F:/corpus/hive/hive#2011-03-26-06-47-36#release-0.7.0#5704958/hbase-handler/src/java/org/apache/hadoop/hive/hbase/HBaseSplit.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,1,0,18,85
