projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
hive,release-0.7.1,release-0.8.0,F:/corpus/hive/hive#2011-06-17-12-33-51#release-0.7.1#a30e096/cli/src/java/org/apache/hadoop/hive/cli/CliSessionState.java,F:/corpus/hive/hive#2011-12-16-08-54-18#release-0.8.0#d0d6943/cli/src/java/org/apache/hadoop/hive/cli/CliSessionState.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,81,61
hive,release-0.7.1,release-0.8.0,F:/corpus/hive/hive#2011-06-17-12-33-51#release-0.7.1#a30e096/cli/src/java/org/apache/hadoop/hive/cli/OptionsProcessor.java,F:/corpus/hive/hive#2011-12-16-08-54-18#release-0.8.0#d0d6943/cli/src/java/org/apache/hadoop/hive/cli/OptionsProcessor.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,1,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,56,141
hive,release-0.7.1,release-0.8.0,F:/corpus/hive/hive#2011-06-17-12-33-51#release-0.7.1#a30e096/cli/src/java/org/apache/hadoop/hive/cli/RCFileCat.java,F:/corpus/hive/hive#2011-12-16-08-54-18#release-0.8.0#d0d6943/cli/src/java/org/apache/hadoop/hive/cli/RCFileCat.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,2,5,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,2,1,3,0,69,129
hive,release-0.7.1,release-0.8.0,F:/corpus/hive/hive#2011-06-17-12-33-51#release-0.7.1#a30e096/common/src/java/org/apache/hadoop/hive/common/FileUtils.java,F:/corpus/hive/hive#2011-12-16-08-54-18#release-0.8.0#d0d6943/common/src/java/org/apache/hadoop/hive/common/FileUtils.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,20,228
hive,release-0.7.1,release-0.8.0,F:/corpus/hive/hive#2011-06-17-12-33-51#release-0.7.1#a30e096/common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,F:/corpus/hive/hive#2011-12-16-08-54-18#release-0.8.0#d0d6943/common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,0,0,0,0,0,5,0,0,0,0,0,8,0,YES,0,0,0,0,9,2,2,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,4,0,1,4,0,224,725
hive,release-0.7.1,release-0.8.0,F:/corpus/hive/hive#2011-06-17-12-33-51#release-0.7.1#a30e096/contrib/src/java/org/apache/hadoop/hive/contrib/fileformat/base64/Base64TextOutputFormat.java,F:/corpus/hive/hive#2011-12-16-08-54-18#release-0.8.0#d0d6943/contrib/src/java/org/apache/hadoop/hive/contrib/fileformat/base64/Base64TextOutputFormat.java,0,0,1,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,133
hive,release-0.7.1,release-0.8.0,F:/corpus/hive/hive#2011-06-17-12-33-51#release-0.7.1#a30e096/contrib/src/java/org/apache/hadoop/hive/contrib/serde2/RegexSerDe.java,F:/corpus/hive/hive#2011-12-16-08-54-18#release-0.8.0#d0d6943/contrib/src/java/org/apache/hadoop/hive/contrib/serde2/RegexSerDe.java,0,0,0,0,1,2,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,260
hive,release-0.7.1,release-0.8.0,F:/corpus/hive/hive#2011-06-17-12-33-51#release-0.7.1#a30e096/contrib/src/java/org/apache/hadoop/hive/contrib/serde2/TypedBytesSerDe.java,F:/corpus/hive/hive#2011-12-16-08-54-18#release-0.8.0#d0d6943/contrib/src/java/org/apache/hadoop/hive/contrib/serde2/TypedBytesSerDe.java,0,0,0,0,1,4,0,1,2,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,383
hive,release-0.7.1,release-0.8.0,F:/corpus/hive/hive#2011-06-17-12-33-51#release-0.7.1#a30e096/contrib/src/java/org/apache/hadoop/hive/contrib/serde2/s3/S3LogDeserializer.java,F:/corpus/hive/hive#2011-12-16-08-54-18#release-0.8.0#d0d6943/contrib/src/java/org/apache/hadoop/hive/contrib/serde2/s3/S3LogDeserializer.java,0,0,0,0,2,1,0,0,1,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,204
hive,release-0.7.1,release-0.8.0,F:/corpus/hive/hive#2011-06-17-12-33-51#release-0.7.1#a30e096/contrib/src/java/org/apache/hadoop/hive/contrib/udf/UDFRowSequence.java,F:/corpus/hive/hive#2011-12-16-08-54-18#release-0.8.0#d0d6943/contrib/src/java/org/apache/hadoop/hive/contrib/udf/UDFRowSequence.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46
