projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
hive,release-0.12.0,release-0.13.0,F:/corpus/hive/hive#2013-10-15-04-40-11#release-0.12.0#b77a6ca/beeline/src/java/org/apache/hive/beeline/BeeLine.java,F:/corpus/hive/hive#2014-04-19-08-44-52#release-0.13.0#d0fe5f1/beeline/src/java/org/apache/hive/beeline/BeeLine.java,0,1,0,0,3,0,0,0,0,0,0,3,0,YES,0,0,0,0,0,2,2,1,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,26,2,7,0,0,53,1709
hive,release-0.12.0,release-0.13.0,F:/corpus/hive/hive#2013-10-15-04-40-11#release-0.12.0#b77a6ca/beeline/src/java/org/apache/hive/beeline/BeeLineOpts.java,F:/corpus/hive/hive#2014-04-19-08-44-52#release-0.13.0#d0fe5f1/beeline/src/java/org/apache/hive/beeline/BeeLineOpts.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,51,435
hive,release-0.12.0,release-0.13.0,F:/corpus/hive/hive#2013-10-15-04-40-11#release-0.12.0#b77a6ca/beeline/src/java/org/apache/hive/beeline/BufferedRows.java,F:/corpus/hive/hive#2014-04-19-08-44-52#release-0.13.0#d0fe5f1/beeline/src/java/org/apache/hive/beeline/BufferedRows.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,72
hive,release-0.12.0,release-0.13.0,F:/corpus/hive/hive#2013-10-15-04-40-11#release-0.12.0#b77a6ca/beeline/src/java/org/apache/hive/beeline/Commands.java,F:/corpus/hive/hive#2014-04-19-08-44-52#release-0.13.0#d0fe5f1/beeline/src/java/org/apache/hive/beeline/Commands.java,0,1,0,0,21,19,0,0,1,2,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,4,0,20,1277
hive,release-0.12.0,release-0.13.0,F:/corpus/hive/hive#2013-10-15-04-40-11#release-0.12.0#b77a6ca/beeline/src/java/org/apache/hive/beeline/DatabaseConnection.java,F:/corpus/hive/hive#2014-04-19-08-44-52#release-0.13.0#d0fe5f1/beeline/src/java/org/apache/hive/beeline/DatabaseConnection.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,7,0,0,1,0,16,296
hive,release-0.12.0,release-0.13.0,F:/corpus/hive/hive#2013-10-15-04-40-11#release-0.12.0#b77a6ca/beeline/src/java/org/apache/hive/beeline/Rows.java,F:/corpus/hive/hive#2014-04-19-08-44-52#release-0.13.0#d0fe5f1/beeline/src/java/org/apache/hive/beeline/Rows.java,0,0,0,0,0,3,0,0,0,0,0,0,0,YES,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,9,164
hive,release-0.12.0,release-0.13.0,F:/corpus/hive/hive#2013-10-15-04-40-11#release-0.12.0#b77a6ca/beeline/src/java/org/apache/hive/beeline/SQLCompletor.java,F:/corpus/hive/hive#2014-04-19-08-44-52#release-0.13.0#d0fe5f1/beeline/src/java/org/apache/hive/beeline/SQLCompletor.java,0,0,0,0,0,5,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,91
hive,release-0.12.0,release-0.13.0,F:/corpus/hive/hive#2013-10-15-04-40-11#release-0.12.0#b77a6ca/cli/src/java/org/apache/hadoop/hive/cli/CliDriver.java,F:/corpus/hive/hive#2014-04-19-08-44-52#release-0.13.0#d0fe5f1/cli/src/java/org/apache/hadoop/hive/cli/CliDriver.java,0,0,0,0,1,2,0,0,0,2,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,5,0,21,836
hive,release-0.12.0,release-0.13.0,F:/corpus/hive/hive#2013-10-15-04-40-11#release-0.12.0#b77a6ca/common/src/java/org/apache/hadoop/hive/common/FileUtils.java,F:/corpus/hive/hive#2014-04-19-08-44-52#release-0.13.0#d0fe5f1/common/src/java/org/apache/hadoop/hive/common/FileUtils.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,300
hive,release-0.12.0,release-0.13.0,F:/corpus/hive/hive#2013-10-15-04-40-11#release-0.12.0#b77a6ca/common/src/java/org/apache/hadoop/hive/common/JavaUtils.java,F:/corpus/hive/hive#2014-04-19-08-44-52#release-0.13.0#d0fe5f1/common/src/java/org/apache/hadoop/hive/common/JavaUtils.java,0,0,0,0,0,0,0,0,0,0,0,1,0,YES,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,46
