projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
hive,release-0.13.1,release-0.14.0,F:/corpus/hive/hive#2014-06-06-05-03-32#release-0.13.1#89bb2e8/ant/src/org/apache/hadoop/hive/ant/QTestGenTask.java,F:/corpus/hive/hive#2014-11-13-04-35-15#release-0.14.0#70eea94/ant/src/org/apache/hadoop/hive/ant/QTestGenTask.java,0,0,0,0,0,0,0,0,0,1,0,0,0,YES,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,3,0,65,484
hive,release-0.13.1,release-0.14.0,F:/corpus/hive/hive#2014-06-06-05-03-32#release-0.13.1#89bb2e8/beeline/src/java/org/apache/hive/beeline/AbstractCommandHandler.java,F:/corpus/hive/hive#2014-11-13-04-35-15#release-0.14.0#70eea94/beeline/src/java/org/apache/hive/beeline/AbstractCommandHandler.java,1,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,104
hive,release-0.13.1,release-0.14.0,F:/corpus/hive/hive#2014-06-06-05-03-32#release-0.13.1#89bb2e8/beeline/src/java/org/apache/hive/beeline/BeeLine.java,F:/corpus/hive/hive#2014-11-13-04-35-15#release-0.14.0#70eea94/beeline/src/java/org/apache/hive/beeline/BeeLine.java,0,1,0,0,3,0,0,0,0,1,0,3,0,YES,0,0,0,1,3,2,9,1,0,0,0,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,72,40,0,9,8,0,315,1750
hive,release-0.13.1,release-0.14.0,F:/corpus/hive/hive#2014-06-06-05-03-32#release-0.13.1#89bb2e8/beeline/src/java/org/apache/hive/beeline/BeeLineOpts.java,F:/corpus/hive/hive#2014-11-13-04-35-15#release-0.14.0#70eea94/beeline/src/java/org/apache/hive/beeline/BeeLineOpts.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,31,486
hive,release-0.13.1,release-0.14.0,F:/corpus/hive/hive#2014-06-06-05-03-32#release-0.13.1#89bb2e8/beeline/src/java/org/apache/hive/beeline/CommandHandler.java,F:/corpus/hive/hive#2014-11-13-04-35-15#release-0.14.0#70eea94/beeline/src/java/org/apache/hive/beeline/CommandHandler.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,77
hive,release-0.13.1,release-0.14.0,F:/corpus/hive/hive#2014-06-06-05-03-32#release-0.13.1#89bb2e8/beeline/src/java/org/apache/hive/beeline/Commands.java,F:/corpus/hive/hive#2014-11-13-04-35-15#release-0.14.0#70eea94/beeline/src/java/org/apache/hive/beeline/Commands.java,0,1,0,0,21,21,0,0,1,2,0,0,0,YES,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,1,0,0,109,1293
hive,release-0.13.1,release-0.14.0,F:/corpus/hive/hive#2014-06-06-05-03-32#release-0.13.1#89bb2e8/beeline/src/java/org/apache/hive/beeline/DatabaseConnection.java,F:/corpus/hive/hive#2014-11-13-04-35-15#release-0.14.0#70eea94/beeline/src/java/org/apache/hive/beeline/DatabaseConnection.java,0,0,0,0,1,2,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,311
hive,release-0.13.1,release-0.14.0,F:/corpus/hive/hive#2014-06-06-05-03-32#release-0.13.1#89bb2e8/beeline/src/java/org/apache/hive/beeline/HiveSchemaHelper.java,F:/corpus/hive/hive#2014-11-13-04-35-15#release-0.14.0#70eea94/beeline/src/java/org/apache/hive/beeline/HiveSchemaHelper.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,21,267
hive,release-0.13.1,release-0.14.0,F:/corpus/hive/hive#2014-06-06-05-03-32#release-0.13.1#89bb2e8/beeline/src/java/org/apache/hive/beeline/HiveSchemaTool.java,F:/corpus/hive/hive#2014-11-13-04-35-15#release-0.14.0#70eea94/beeline/src/java/org/apache/hive/beeline/HiveSchemaTool.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,5,512
hive,release-0.13.1,release-0.14.0,F:/corpus/hive/hive#2014-06-06-05-03-32#release-0.13.1#89bb2e8/beeline/src/java/org/apache/hive/beeline/ReflectiveCommandHandler.java,F:/corpus/hive/hive#2014-11-13-04-35-15#release-0.14.0#70eea94/beeline/src/java/org/apache/hive/beeline/ReflectiveCommandHandler.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,53
