projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
hive,release-1.2.1,release-2.0.0,F:/corpus/hive/hive#2015-06-19-16-49-55#release-1.2.1#243e7c1/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/LazyAccumuloRow.java,F:/corpus/hive/hive#2016-02-10-09-53-25#release-2.0.0#7f9f1fc/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/LazyAccumuloRow.java,0,0,0,1,0,1,0,1,1,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,157
hive,release-1.2.1,release-2.0.0,F:/corpus/hive/hive#2015-06-19-16-49-55#release-1.2.1#243e7c1/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/Utils.java,F:/corpus/hive/hive#2016-02-10-09-53-25#release-2.0.0#7f9f1fc/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/Utils.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,353
hive,release-1.2.1,release-2.0.0,F:/corpus/hive/hive#2015-06-19-16-49-55#release-1.2.1#243e7c1/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnMapper.java,F:/corpus/hive/hive#2016-02-10-09-53-25#release-2.0.0#7f9f1fc/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnMapper.java,0,0,0,0,0,1,0,0,0,0,0,1,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,181
hive,release-1.2.1,release-2.0.0,F:/corpus/hive/hive#2015-06-19-16-49-55#release-1.2.1#243e7c1/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnMappingFactory.java,F:/corpus/hive/hive#2016-02-10-09-53-25#release-2.0.0#7f9f1fc/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnMappingFactory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,180
hive,release-1.2.1,release-2.0.0,F:/corpus/hive/hive#2015-06-19-16-49-55#release-1.2.1#243e7c1/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/HiveAccumuloColumnMapping.java,F:/corpus/hive/hive#2016-02-10-09-53-25#release-2.0.0#7f9f1fc/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/HiveAccumuloColumnMapping.java,0,0,0,0,0,1,0,0,0,0,0,2,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,92
hive,release-1.2.1,release-2.0.0,F:/corpus/hive/hive#2015-06-19-16-49-55#release-1.2.1#243e7c1/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloSplit.java,F:/corpus/hive/hive#2016-02-10-09-53-25#release-2.0.0#7f9f1fc/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloSplit.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,93
hive,release-1.2.1,release-2.0.0,F:/corpus/hive/hive#2015-06-19-16-49-55#release-1.2.1#243e7c1/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloTableOutputFormat.java,F:/corpus/hive/hive#2016-02-10-09-53-25#release-2.0.0#7f9f1fc/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/mr/HiveAccumuloTableOutputFormat.java,0,0,1,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,35,170
hive,release-1.2.1,release-2.0.0,F:/corpus/hive/hive#2015-06-19-16-49-55#release-1.2.1#243e7c1/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/AccumuloPredicateHandler.java,F:/corpus/hive/hive#2016-02-10-09-53-25#release-2.0.0#7f9f1fc/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/AccumuloPredicateHandler.java,0,0,0,0,0,8,0,0,1,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,425
hive,release-1.2.1,release-2.0.0,F:/corpus/hive/hive#2015-06-19-16-49-55#release-1.2.1#243e7c1/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/PrimitiveComparisonFilter.java,F:/corpus/hive/hive#2016-02-10-09-53-25#release-2.0.0#7f9f1fc/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/PrimitiveComparisonFilter.java,1,0,0,0,1,1,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,141
hive,release-1.2.1,release-2.0.0,F:/corpus/hive/hive#2015-06-19-16-49-55#release-1.2.1#243e7c1/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/PushdownTuple.java,F:/corpus/hive/hive#2016-02-10-09-53-25#release-2.0.0#7f9f1fc/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/PushdownTuple.java,0,0,0,0,0,4,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,110
hive,release-1.2.1,release-2.0.0,F:/corpus/hive/hive#2015-06-19-16-49-55#release-1.2.1#243e7c1/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/StringCompare.java,F:/corpus/hive/hive#2016-02-10-09-53-25#release-2.0.0#7f9f1fc/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/predicate/compare/StringCompare.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,82
hive,release-1.2.1,release-2.0.0,F:/corpus/hive/hive#2015-06-19-16-49-55#release-1.2.1#243e7c1/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloRowSerializer.java,F:/corpus/hive/hive#2016-02-10-09-53-25#release-2.0.0#7f9f1fc/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/serde/AccumuloRowSerializer.java,0,0,0,0,0,2,0,1,0,0,0,0,1,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,380
