projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
lucene,3.5.0,3.6.0,F:/corpus/lucene/lucene#2011-11-26-06-54-01#3.5.0#b62f1d7/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/cjk/CJKAnalyzer.java,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/cjk/CJKAnalyzer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,9,113
lucene,3.5.0,3.6.0,F:/corpus/lucene/lucene#2011-11-26-06-54-01#3.5.0#b62f1d7/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/cjk/CJKTokenizer.java,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/cjk/CJKTokenizer.java,0,0,0,0,0,0,0,0,0,1,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,315
lucene,3.5.0,3.6.0,F:/corpus/lucene/lucene#2011-11-26-06-54-01#3.5.0#b62f1d7/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/compound/CompoundWordTokenFilterBase.java,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/compound/CompoundWordTokenFilterBase.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,1,0,6,236
lucene,3.5.0,3.6.0,F:/corpus/lucene/lucene#2011-11-26-06-54-01#3.5.0#b62f1d7/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/cz/CzechStemmer.java,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/cz/CzechStemmer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,171
lucene,3.5.0,3.6.0,F:/corpus/lucene/lucene#2011-11-26-06-54-01#3.5.0#b62f1d7/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/de/GermanAnalyzer.java,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/de/GermanAnalyzer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,5,252
lucene,3.5.0,3.6.0,F:/corpus/lucene/lucene#2011-11-26-06-54-01#3.5.0#b62f1d7/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/en/EnglishAnalyzer.java,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/en/EnglishAnalyzer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,118
lucene,3.5.0,3.6.0,F:/corpus/lucene/lucene#2011-11-26-06-54-01#3.5.0#b62f1d7/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/en/EnglishPossessiveFilter.java,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/en/EnglishPossessiveFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,23,52
lucene,3.5.0,3.6.0,F:/corpus/lucene/lucene#2011-11-26-06-54-01#3.5.0#b62f1d7/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/es/SpanishAnalyzer.java,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/es/SpanishAnalyzer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,9,132
lucene,3.5.0,3.6.0,F:/corpus/lucene/lucene#2011-11-26-06-54-01#3.5.0#b62f1d7/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/fr/FrenchAnalyzer.java,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/fr/FrenchAnalyzer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,2,0,0,3,264
lucene,3.5.0,3.6.0,F:/corpus/lucene/lucene#2011-11-26-06-54-01#3.5.0#b62f1d7/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/hi/HindiAnalyzer.java,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/hi/HindiAnalyzer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,10,132
lucene,3.5.0,3.6.0,F:/corpus/lucene/lucene#2011-11-26-06-54-01#3.5.0#b62f1d7/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/hunspell/HunspellDictionary.java,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/hunspell/HunspellDictionary.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,440
lucene,3.5.0,3.6.0,F:/corpus/lucene/lucene#2011-11-26-06-54-01#3.5.0#b62f1d7/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/hunspell/HunspellStemFilter.java,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/hunspell/HunspellStemFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,6,112
lucene,3.5.0,3.6.0,F:/corpus/lucene/lucene#2011-11-26-06-54-01#3.5.0#b62f1d7/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/hunspell/HunspellWord.java,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/hunspell/HunspellWord.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60
lucene,3.5.0,3.6.0,F:/corpus/lucene/lucene#2011-11-26-06-54-01#3.5.0#b62f1d7/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/in/IndicTokenizer.java,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/in/IndicTokenizer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50
lucene,3.5.0,3.6.0,F:/corpus/lucene/lucene#2011-11-26-06-54-01#3.5.0#b62f1d7/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/it/ItalianAnalyzer.java,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/it/ItalianAnalyzer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,152
lucene,3.5.0,3.6.0,F:/corpus/lucene/lucene#2011-11-26-06-54-01#3.5.0#b62f1d7/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/miscellaneous/PatternAnalyzer.java,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/miscellaneous/PatternAnalyzer.java,0,0,1,0,1,0,1,0,0,0,0,0,0,YES,2,0,0,0,5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,3,0,0,7,0,48,491
lucene,3.5.0,3.6.0,F:/corpus/lucene/lucene#2011-11-26-06-54-01#3.5.0#b62f1d7/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,7,153
lucene,3.5.0,3.6.0,F:/corpus/lucene/lucene#2011-11-26-06-54-01#3.5.0#b62f1d7/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenizer.java,F:/corpus/lucene/lucene#2012-04-12-02-09-20#3.6.0#ab50355/lucene/contrib/analyzers/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenizer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,2,0,0,1,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15,2,2,1,0,45,229
