projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
lucene,5.3.0,5.4.0,F:/corpus/lucene/lucene#2015-08-20-14-16-57#5.3.0#cb922f8/lucene/analysis/common/src/java/org/apache/lucene/analysis/ckb/SoraniAnalyzer.java,F:/corpus/lucene/lucene#2015-12-10-18-53-02#5.4.0#0a1dd10/lucene/analysis/common/src/java/org/apache/lucene/analysis/ckb/SoraniAnalyzer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,134
lucene,5.3.0,5.4.0,F:/corpus/lucene/lucene#2015-08-20-14-16-57#5.3.0#cb922f8/lucene/analysis/common/src/java/org/apache/lucene/analysis/compound/hyphenation/PatternParser.java,F:/corpus/lucene/lucene#2015-12-10-18-53-02#5.4.0#0a1dd10/lucene/analysis/common/src/java/org/apache/lucene/analysis/compound/hyphenation/PatternParser.java,0,0,0,0,2,1,0,0,0,0,0,0,2,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,382
lucene,5.3.0,5.4.0,F:/corpus/lucene/lucene#2015-08-20-14-16-57#5.3.0#cb922f8/lucene/analysis/common/src/java/org/apache/lucene/analysis/core/WhitespaceTokenizer.java,F:/corpus/lucene/lucene#2015-12-10-18-53-02#5.4.0#0a1dd10/lucene/analysis/common/src/java/org/apache/lucene/analysis/core/WhitespaceTokenizer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,53
lucene,5.3.0,5.4.0,F:/corpus/lucene/lucene#2015-08-20-14-16-57#5.3.0#cb922f8/lucene/analysis/common/src/java/org/apache/lucene/analysis/core/WhitespaceTokenizerFactory.java,F:/corpus/lucene/lucene#2015-12-10-18-53-02#5.4.0#0a1dd10/lucene/analysis/common/src/java/org/apache/lucene/analysis/core/WhitespaceTokenizerFactory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,1,0,0,24,48
lucene,5.3.0,5.4.0,F:/corpus/lucene/lucene#2015-08-20-14-16-57#5.3.0#cb922f8/lucene/analysis/common/src/java/org/apache/lucene/analysis/el/GreekAnalyzer.java,F:/corpus/lucene/lucene#2015-12-10-18-53-02#5.4.0#0a1dd10/lucene/analysis/common/src/java/org/apache/lucene/analysis/el/GreekAnalyzer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,114
lucene,5.3.0,5.4.0,F:/corpus/lucene/lucene#2015-08-20-14-16-57#5.3.0#cb922f8/lucene/analysis/common/src/java/org/apache/lucene/analysis/el/GreekLowerCaseFilter.java,F:/corpus/lucene/lucene#2015-12-10-18-53-02#5.4.0#0a1dd10/lucene/analysis/common/src/java/org/apache/lucene/analysis/el/GreekLowerCaseFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,118
lucene,5.3.0,5.4.0,F:/corpus/lucene/lucene#2015-08-20-14-16-57#5.3.0#cb922f8/lucene/analysis/common/src/java/org/apache/lucene/analysis/fa/PersianAnalyzer.java,F:/corpus/lucene/lucene#2015-12-10-18-53-02#5.4.0#0a1dd10/lucene/analysis/common/src/java/org/apache/lucene/analysis/fa/PersianAnalyzer.java,0,0,0,0,2,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,141
lucene,5.3.0,5.4.0,F:/corpus/lucene/lucene#2015-08-20-14-16-57#5.3.0#cb922f8/lucene/analysis/common/src/java/org/apache/lucene/analysis/hi/HindiAnalyzer.java,F:/corpus/lucene/lucene#2015-12-10-18-53-02#5.4.0#0a1dd10/lucene/analysis/common/src/java/org/apache/lucene/analysis/hi/HindiAnalyzer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,133
lucene,5.3.0,5.4.0,F:/corpus/lucene/lucene#2015-08-20-14-16-57#5.3.0#cb922f8/lucene/analysis/common/src/java/org/apache/lucene/analysis/hunspell/Dictionary.java,F:/corpus/lucene/lucene#2015-12-10-18-53-02#5.4.0#0a1dd10/lucene/analysis/common/src/java/org/apache/lucene/analysis/hunspell/Dictionary.java,0,1,0,0,0,0,0,1,0,3,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1243
lucene,5.3.0,5.4.0,F:/corpus/lucene/lucene#2015-08-20-14-16-57#5.3.0#cb922f8/lucene/analysis/common/src/java/org/apache/lucene/analysis/hunspell/Stemmer.java,F:/corpus/lucene/lucene#2015-12-10-18-53-02#5.4.0#0a1dd10/lucene/analysis/common/src/java/org/apache/lucene/analysis/hunspell/Stemmer.java,0,0,0,0,0,0,0,0,0,1,2,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,605
