projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
lucene,6.1.0,6.2.0,F:/corpus/lucene/lucene#2016-06-12-15-41-07#6.1.0#4726c5b/lucene/analysis/common/src/java/org/apache/lucene/analysis/bg/BulgarianAnalyzer.java,F:/corpus/lucene/lucene#2016-08-20-16-31-14#6.2.0#764d0f1/lucene/analysis/common/src/java/org/apache/lucene/analysis/bg/BulgarianAnalyzer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,129
lucene,6.1.0,6.2.0,F:/corpus/lucene/lucene#2016-06-12-15-41-07#6.1.0#4726c5b/lucene/analysis/common/src/java/org/apache/lucene/analysis/br/BrazilianAnalyzer.java,F:/corpus/lucene/lucene#2016-08-20-16-31-14#6.2.0#764d0f1/lucene/analysis/common/src/java/org/apache/lucene/analysis/br/BrazilianAnalyzer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,131
lucene,6.1.0,6.2.0,F:/corpus/lucene/lucene#2016-06-12-15-41-07#6.1.0#4726c5b/lucene/analysis/common/src/java/org/apache/lucene/analysis/ca/CatalanAnalyzer.java,F:/corpus/lucene/lucene#2016-08-20-16-31-14#6.2.0#764d0f1/lucene/analysis/common/src/java/org/apache/lucene/analysis/ca/CatalanAnalyzer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,133
lucene,6.1.0,6.2.0,F:/corpus/lucene/lucene#2016-06-12-15-41-07#6.1.0#4726c5b/lucene/analysis/common/src/java/org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,F:/corpus/lucene/lucene#2016-08-20-16-31-14#6.2.0#764d0f1/lucene/analysis/common/src/java/org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,0,1,0,0,0,0,0,0,0,1,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31011
lucene,6.1.0,6.2.0,F:/corpus/lucene/lucene#2016-06-12-15-41-07#6.1.0#4726c5b/lucene/analysis/common/src/java/org/apache/lucene/analysis/charfilter/NormalizeCharMap.java,F:/corpus/lucene/lucene#2016-08-20-16-31-14#6.2.0#764d0f1/lucene/analysis/common/src/java/org/apache/lucene/analysis/charfilter/NormalizeCharMap.java,0,0,0,0,0,0,0,0,0,0,0,2,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,127
lucene,6.1.0,6.2.0,F:/corpus/lucene/lucene#2016-06-12-15-41-07#6.1.0#4726c5b/lucene/analysis/common/src/java/org/apache/lucene/analysis/cjk/CJKAnalyzer.java,F:/corpus/lucene/lucene#2016-08-20-16-31-14#6.2.0#764d0f1/lucene/analysis/common/src/java/org/apache/lucene/analysis/cjk/CJKAnalyzer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,95
lucene,6.1.0,6.2.0,F:/corpus/lucene/lucene#2016-06-12-15-41-07#6.1.0#4726c5b/lucene/analysis/common/src/java/org/apache/lucene/analysis/ckb/SoraniAnalyzer.java,F:/corpus/lucene/lucene#2016-08-20-16-31-14#6.2.0#764d0f1/lucene/analysis/common/src/java/org/apache/lucene/analysis/ckb/SoraniAnalyzer.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,132
lucene,6.1.0,6.2.0,F:/corpus/lucene/lucene#2016-06-12-15-41-07#6.1.0#4726c5b/lucene/analysis/common/src/java/org/apache/lucene/analysis/commongrams/CommonGramsFilter.java,F:/corpus/lucene/lucene#2016-08-20-16-31-14#6.2.0#764d0f1/lucene/analysis/common/src/java/org/apache/lucene/analysis/commongrams/CommonGramsFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,182
lucene,6.1.0,6.2.0,F:/corpus/lucene/lucene#2016-06-12-15-41-07#6.1.0#4726c5b/lucene/analysis/common/src/java/org/apache/lucene/analysis/commongrams/CommonGramsFilterFactory.java,F:/corpus/lucene/lucene#2016-08-20-16-31-14#6.2.0#764d0f1/lucene/analysis/common/src/java/org/apache/lucene/analysis/commongrams/CommonGramsFilterFactory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,85
lucene,6.1.0,6.2.0,F:/corpus/lucene/lucene#2016-06-12-15-41-07#6.1.0#4726c5b/lucene/analysis/common/src/java/org/apache/lucene/analysis/compound/CompoundWordTokenFilterBase.java,F:/corpus/lucene/lucene#2016-08-20-16-31-14#6.2.0#764d0f1/lucene/analysis/common/src/java/org/apache/lucene/analysis/compound/CompoundWordTokenFilterBase.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,147
