projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
pig,release-0.5.0,release-0.6.0,F:/corpus/pig/pig#2010-10-07-04-21-57#release-0.5.0#e14b760/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/SequenceFileLoader.java,F:/corpus/pig/pig#2010-10-07-04-21-57#release-0.6.0#84c1a46/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/SequenceFileLoader.java,0,0,0,0,10,0,0,0,2,0,0,0,0,YES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,245
pig,release-0.5.0,release-0.6.0,F:/corpus/pig/pig#2010-10-07-04-21-57#release-0.5.0#e14b760/contrib/zebra/src/java/org/apache/hadoop/zebra/io/BasicTable.java,F:/corpus/pig/pig#2010-10-07-04-21-57#release-0.6.0#84c1a46/contrib/zebra/src/java/org/apache/hadoop/zebra/io/BasicTable.java,0,1,0,0,0,0,2,0,0,0,0,9,0,YES,0,0,0,1,29,8,5,6,0,2,0,9,7,0,0,7,0,0,0,3,0,0,3,6,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,116,78,3,19,30,0,554,1448
pig,release-0.5.0,release-0.6.0,F:/corpus/pig/pig#2010-10-07-04-21-57#release-0.5.0#e14b760/contrib/zebra/src/java/org/apache/hadoop/zebra/io/BasicTableStatus.java,F:/corpus/pig/pig#2010-10-07-04-21-57#release-0.6.0#84c1a46/contrib/zebra/src/java/org/apache/hadoop/zebra/io/BasicTableStatus.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110
pig,release-0.5.0,release-0.6.0,F:/corpus/pig/pig#2010-10-07-04-21-57#release-0.5.0#e14b760/contrib/zebra/src/java/org/apache/hadoop/zebra/io/BlockDistribution.java,F:/corpus/pig/pig#2010-10-07-04-21-57#release-0.6.0#84c1a46/contrib/zebra/src/java/org/apache/hadoop/zebra/io/BlockDistribution.java,0,0,0,0,0,0,0,0,0,0,0,1,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,151
pig,release-0.5.0,release-0.6.0,F:/corpus/pig/pig#2010-10-07-04-21-57#release-0.5.0#e14b760/contrib/zebra/src/java/org/apache/hadoop/zebra/io/ColumnGroup.java,F:/corpus/pig/pig#2010-10-07-04-21-57#release-0.6.0#84c1a46/contrib/zebra/src/java/org/apache/hadoop/zebra/io/ColumnGroup.java,0,1,0,0,1,1,1,0,0,1,0,7,0,YES,1,0,0,1,19,5,1,2,0,0,0,3,2,2,0,2,0,0,0,0,3,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,29,49,3,7,9,0,380,1760
pig,release-0.5.0,release-0.6.0,F:/corpus/pig/pig#2010-10-07-04-21-57#release-0.5.0#e14b760/contrib/zebra/src/java/org/apache/hadoop/zebra/io/IOutils.java,F:/corpus/pig/pig#2010-10-07-04-21-57#release-0.6.0#84c1a46/contrib/zebra/src/java/org/apache/hadoop/zebra/io/IOutils.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,30
pig,release-0.5.0,release-0.6.0,F:/corpus/pig/pig#2010-10-07-04-21-57#release-0.5.0#e14b760/contrib/zebra/src/java/org/apache/hadoop/zebra/io/KeyDistribution.java,F:/corpus/pig/pig#2010-10-07-04-21-57#release-0.6.0#84c1a46/contrib/zebra/src/java/org/apache/hadoop/zebra/io/KeyDistribution.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,158
pig,release-0.5.0,release-0.6.0,F:/corpus/pig/pig#2010-10-07-04-21-57#release-0.5.0#e14b760/contrib/zebra/src/java/org/apache/hadoop/zebra/io/MetaFile.java,F:/corpus/pig/pig#2010-10-07-04-21-57#release-0.6.0#84c1a46/contrib/zebra/src/java/org/apache/hadoop/zebra/io/MetaFile.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,256
pig,release-0.5.0,release-0.6.0,F:/corpus/pig/pig#2010-10-07-04-21-57#release-0.5.0#e14b760/contrib/zebra/src/java/org/apache/hadoop/zebra/io/TableInserter.java,F:/corpus/pig/pig#2010-10-07-04-21-57#release-0.6.0#84c1a46/contrib/zebra/src/java/org/apache/hadoop/zebra/io/TableInserter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49
pig,release-0.5.0,release-0.6.0,F:/corpus/pig/pig#2010-10-07-04-21-57#release-0.5.0#e14b760/contrib/zebra/src/java/org/apache/hadoop/zebra/io/TableScanner.java,F:/corpus/pig/pig#2010-10-07-04-21-57#release-0.6.0#84c1a46/contrib/zebra/src/java/org/apache/hadoop/zebra/io/TableScanner.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99
