projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
pig,release-0.8.0,release-0.9.0,F:/corpus/pig/pig#2010-12-17-07-05-44#release-0.8.0#59ecf64/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/truncate/ISOToHour.java,F:/corpus/pig/pig#2011-07-28-08-05-41#release-0.9.0#9f1ec1c/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/truncate/ISOToHour.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,11,112
pig,release-0.8.0,release-0.9.0,F:/corpus/pig/pig#2010-12-17-07-05-44#release-0.8.0#59ecf64/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/truncate/ISOToMinute.java,F:/corpus/pig/pig#2011-07-28-08-05-41#release-0.9.0#9f1ec1c/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/truncate/ISOToMinute.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,10,113
pig,release-0.8.0,release-0.9.0,F:/corpus/pig/pig#2010-12-17-07-05-44#release-0.8.0#59ecf64/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/truncate/ISOToMonth.java,F:/corpus/pig/pig#2011-07-28-08-05-41#release-0.9.0#9f1ec1c/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/truncate/ISOToMonth.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,10,114
pig,release-0.8.0,release-0.9.0,F:/corpus/pig/pig#2010-12-17-07-05-44#release-0.8.0#59ecf64/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/truncate/ISOToSecond.java,F:/corpus/pig/pig#2011-07-28-08-05-41#release-0.9.0#9f1ec1c/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/truncate/ISOToSecond.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,10,114
pig,release-0.8.0,release-0.9.0,F:/corpus/pig/pig#2010-12-17-07-05-44#release-0.8.0#59ecf64/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/truncate/ISOToWeek.java,F:/corpus/pig/pig#2011-07-28-08-05-41#release-0.9.0#9f1ec1c/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/truncate/ISOToWeek.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,10,116
pig,release-0.8.0,release-0.9.0,F:/corpus/pig/pig#2010-12-17-07-05-44#release-0.8.0#59ecf64/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/truncate/ISOToYear.java,F:/corpus/pig/pig#2011-07-28-08-05-41#release-0.9.0#9f1ec1c/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/datetime/truncate/ISOToYear.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,10,115
pig,release-0.8.0,release-0.9.0,F:/corpus/pig/pig#2010-12-17-07-05-44#release-0.8.0#59ecf64/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/LookupInFiles.java,F:/corpus/pig/pig#2011-07-28-08-05-41#release-0.9.0#9f1ec1c/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/LookupInFiles.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,122
pig,release-0.8.0,release-0.9.0,F:/corpus/pig/pig#2010-12-17-07-05-44#release-0.8.0#59ecf64/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/JsonMetadata.java,F:/corpus/pig/pig#2011-07-28-08-05-41#release-0.9.0#9f1ec1c/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/JsonMetadata.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,293
pig,release-0.8.0,release-0.9.0,F:/corpus/pig/pig#2010-12-17-07-05-44#release-0.8.0#59ecf64/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/PigStorageSchema.java,F:/corpus/pig/pig#2011-07-28-08-05-41#release-0.9.0#9f1ec1c/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/PigStorageSchema.java,0,0,0,0,2,0,0,0,0,0,0,0,0,YES,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,58,99
pig,release-0.8.0,release-0.9.0,F:/corpus/pig/pig#2010-12-17-07-05-44#release-0.8.0#59ecf64/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/XMLLoader.java,F:/corpus/pig/pig#2011-07-28-08-05-41#release-0.9.0#9f1ec1c/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/XMLLoader.java,0,0,0,0,3,0,0,0,0,1,0,0,0,YES,0,0,0,0,3,5,0,2,0,0,0,1,8,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,19,0,3,2,0,100,610
