projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
pig,release-0.9.2,release-0.10.0,F:/corpus/pig/pig#2012-01-22-06-59-48#release-0.9.2#56d98eb/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/INDEXOF.java,F:/corpus/pig/pig#2012-06-06-07-36-03#release-0.10.0#f0a35e4/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/INDEXOF.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,36,81
pig,release-0.9.2,release-0.10.0,F:/corpus/pig/pig#2012-01-22-06-59-48#release-0.9.2#56d98eb/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/LASTINDEXOF.java,F:/corpus/pig/pig#2012-06-06-07-36-03#release-0.10.0#f0a35e4/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/LASTINDEXOF.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,34,78
pig,release-0.9.2,release-0.10.0,F:/corpus/pig/pig#2012-01-22-06-59-48#release-0.9.2#56d98eb/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/LENGTH.java,F:/corpus/pig/pig#2012-06-06-07-36-03#release-0.10.0#f0a35e4/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/LENGTH.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,57
pig,release-0.9.2,release-0.10.0,F:/corpus/pig/pig#2012-01-22-06-59-48#release-0.9.2#56d98eb/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/LOWER.java,F:/corpus/pig/pig#2012-06-06-07-36-03#release-0.10.0#f0a35e4/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/LOWER.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,42,88
pig,release-0.9.2,release-0.10.0,F:/corpus/pig/pig#2012-01-22-06-59-48#release-0.9.2#56d98eb/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/LcFirst.java,F:/corpus/pig/pig#2012-06-06-07-36-03#release-0.10.0#f0a35e4/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/LcFirst.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,58
pig,release-0.9.2,release-0.10.0,F:/corpus/pig/pig#2012-01-22-06-59-48#release-0.9.2#56d98eb/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/REPLACE.java,F:/corpus/pig/pig#2012-06-06-07-36-03#release-0.10.0#f0a35e4/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/REPLACE.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29,75
pig,release-0.9.2,release-0.10.0,F:/corpus/pig/pig#2012-01-22-06-59-48#release-0.9.2#56d98eb/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/Reverse.java,F:/corpus/pig/pig#2012-06-06-07-36-03#release-0.10.0#f0a35e4/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/Reverse.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,59
pig,release-0.9.2,release-0.10.0,F:/corpus/pig/pig#2012-01-22-06-59-48#release-0.9.2#56d98eb/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/SUBSTRING.java,F:/corpus/pig/pig#2012-06-06-07-36-03#release-0.10.0#f0a35e4/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/SUBSTRING.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,33,81
pig,release-0.9.2,release-0.10.0,F:/corpus/pig/pig#2012-01-22-06-59-48#release-0.9.2#56d98eb/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/Split.java,F:/corpus/pig/pig#2012-06-06-07-36-03#release-0.10.0#f0a35e4/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/Split.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,35,76
pig,release-0.9.2,release-0.10.0,F:/corpus/pig/pig#2012-01-22-06-59-48#release-0.9.2#56d98eb/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/Trim.java,F:/corpus/pig/pig#2012-06-06-07-36-03#release-0.10.0#f0a35e4/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/Trim.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,58
pig,release-0.9.2,release-0.10.0,F:/corpus/pig/pig#2012-01-22-06-59-48#release-0.9.2#56d98eb/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/UcFirst.java,F:/corpus/pig/pig#2012-06-06-07-36-03#release-0.10.0#f0a35e4/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/string/UcFirst.java,0,0,0,0,1,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,58
pig,release-0.9.2,release-0.10.0,F:/corpus/pig/pig#2012-01-22-06-59-48#release-0.9.2#56d98eb/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/util/apachelogparser/SearchTermExtractor.java,F:/corpus/pig/pig#2012-06-06-07-36-03#release-0.10.0#f0a35e4/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/util/apachelogparser/SearchTermExtractor.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,1,207
