projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
qpid,0.6,0.8,F:/corpus/qpid/qpid#2010-03-29-22-47-18#0.6#83e3151/qpid/java/broker-plugins/src/main/java/org/apache/qpid/extras/exchanges/diagnostic/DiagnosticExchangeType.java,F:/corpus/qpid/qpid#2010-12-05-00-45-47#0.8#83d75bb/qpid/java/broker-plugins/extras/src/main/java/org/apache/qpid/extras/exchanges/diagnostic/DiagnosticExchangeType.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
qpid,0.6,0.8,F:/corpus/qpid/qpid#2010-03-29-22-47-18#0.6#83e3151/qpid/java/broker/src/main/java/org/apache/log4j/QpidCompositeRollingAppender.java,F:/corpus/qpid/qpid#2010-12-05-00-45-47#0.8#83d75bb/qpid/java/broker/src/main/java/org/apache/log4j/QpidCompositeRollingAppender.java,0,1,0,0,0,0,0,0,0,1,0,0,1,YES,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,11,4,4,0,0,35,1094
qpid,0.6,0.8,F:/corpus/qpid/qpid#2010-03-29-22-47-18#0.6#83e3151/qpid/java/broker/src/main/java/org/apache/log4j/xml/QpidLog4JConfigurator.java,F:/corpus/qpid/qpid#2010-12-05-00-45-47#0.8#83d75bb/qpid/java/broker/src/main/java/org/apache/log4j/xml/QpidLog4JConfigurator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,5,319
qpid,0.6,0.8,F:/corpus/qpid/qpid#2010-03-29-22-47-18#0.6#83e3151/qpid/java/broker/src/main/java/org/apache/qpid/configuration/Configuration.java,F:/corpus/qpid/qpid#2010-12-05-00-45-47#0.8#83d75bb/qpid/java/broker/src/main/java/org/apache/qpid/configuration/Configuration.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,188
qpid,0.6,0.8,F:/corpus/qpid/qpid#2010-03-29-22-47-18#0.6#83e3151/qpid/java/broker/src/main/java/org/apache/qpid/server/AMQBrokerManagerMBean.java,F:/corpus/qpid/qpid#2010-12-05-00-45-47#0.8#83d75bb/qpid/java/broker/src/main/java/org/apache/qpid/server/AMQBrokerManagerMBean.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,8,0,51,352
qpid,0.6,0.8,F:/corpus/qpid/qpid#2010-03-29-22-47-18#0.6#83e3151/qpid/java/broker/src/main/java/org/apache/qpid/server/AMQChannel.java,F:/corpus/qpid/qpid#2010-12-05-00-45-47#0.8#83d75bb/qpid/java/broker/src/main/java/org/apache/qpid/server/AMQChannel.java,0,1,0,0,0,3,0,1,0,1,0,4,0,YES,0,0,0,1,25,7,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,9,23,0,1,11,0,337,1196
qpid,0.6,0.8,F:/corpus/qpid/qpid#2010-03-29-22-47-18#0.6#83e3151/qpid/java/broker/src/main/java/org/apache/qpid/server/Main.java,F:/corpus/qpid/qpid#2010-12-05-00-45-47#0.8#83d75bb/qpid/java/broker/src/main/java/org/apache/qpid/server/Main.java,0,0,0,0,0,1,0,1,0,1,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,4,0,3,7,0,46,629
qpid,0.6,0.8,F:/corpus/qpid/qpid#2010-03-29-22-47-18#0.6#83e3151/qpid/java/broker/src/main/java/org/apache/qpid/server/configuration/QueueConfiguration.java,F:/corpus/qpid/qpid#2010-12-05-00-45-47#0.8#83d75bb/qpid/java/broker/src/main/java/org/apache/qpid/server/configuration/QueueConfiguration.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,5,0,0,13,0,102,121
qpid,0.6,0.8,F:/corpus/qpid/qpid#2010-03-29-22-47-18#0.6#83e3151/qpid/java/broker/src/main/java/org/apache/qpid/server/configuration/ServerConfiguration.java,F:/corpus/qpid/qpid#2010-12-05-00-45-47#0.8#83d75bb/qpid/java/broker/src/main/java/org/apache/qpid/server/configuration/ServerConfiguration.java,0,0,0,0,1,1,0,0,0,0,0,1,0,YES,0,0,1,0,8,8,0,2,1,0,0,1,10,1,1,1,0,0,2,0,5,2,1,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,1,1,25,34,0,2,67,0,229,701
qpid,0.6,0.8,F:/corpus/qpid/qpid#2010-03-29-22-47-18#0.6#83e3151/qpid/java/broker/src/main/java/org/apache/qpid/server/configuration/VirtualHostConfiguration.java,F:/corpus/qpid/qpid#2010-12-05-00-45-47#0.8#83d75bb/qpid/java/broker/src/main/java/org/apache/qpid/server/configuration/VirtualHostConfiguration.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,17,17,0,1,16,0,203,180
