projectName,oldVersionTag,newVersionTag,oldPath,newPath,DC,LC,MM,RPB,SG,MCH,DCLP,DIVC,FE,LM,LPL,SS,SC,fromChangeDistiller,adding_attribute_modifiability,adding_class_derivability,adding_method_overridability,additional_class,additional_functionality,additional_object_state,alternative_part_delete,alternative_part_insert,attribute_renaming,attribute_type_change,class_renaming,comment_delete,comment_insert,comment_move,comment_update,condition_expression_change,decreasing_accessibility_change,doc_delete,doc_insert,doc_update,increasing_accessibility_change,method_renaming,parameter_delete,parameter_insert,parameter_ordering_change,parameter_renaming,parameter_type_change,parent_class_change,parent_class_delete,parent_class_insert,parent_interface_change,parent_interface_delete,parent_interface_insert,removed_class,removed_functionality,removed_object_state,removing_attribute_modifiability,removing_class_derivability,removing_method_overridability,return_type_change,return_type_delete,return_type_insert,statement_delete,statement_insert,statement_ordering_change,statement_parent_change,statement_update,unclassified_change,codeChurn,LOC
qpid,0.5,0.6,F:/corpus/qpid/qpid#2010-11-08-04-44-10#0.5#5d8cd81/qpid/java/broker-plugins/src/main/java/org/apache/qpid/extras/exchanges/diagnostic/DiagnosticExchangeType.java,F:/corpus/qpid/qpid#2010-03-29-22-47-18#0.6#83e3151/qpid/java/broker-plugins/src/main/java/org/apache/qpid/extras/exchanges/diagnostic/DiagnosticExchangeType.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57
qpid,0.5,0.6,F:/corpus/qpid/qpid#2010-11-08-04-44-10#0.5#5d8cd81/qpid/java/broker/src/main/java/org/apache/log4j/QpidCompositeRollingAppender.java,F:/corpus/qpid/qpid#2010-03-29-22-47-18#0.6#83e3151/qpid/java/broker/src/main/java/org/apache/log4j/QpidCompositeRollingAppender.java,0,0,0,0,0,0,0,0,0,0,0,0,1,YES,0,0,0,0,3,1,6,0,0,0,0,16,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,3,0,3,6,1,461,1007
qpid,0.5,0.6,F:/corpus/qpid/qpid#2010-11-08-04-44-10#0.5#5d8cd81/qpid/java/broker/src/main/java/org/apache/qpid/server/AMQBrokerManagerMBean.java,F:/corpus/qpid/qpid#2010-03-29-22-47-18#0.6#83e3151/qpid/java/broker/src/main/java/org/apache/qpid/server/AMQBrokerManagerMBean.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,14,0,0,1,0,129,235
qpid,0.5,0.6,F:/corpus/qpid/qpid#2010-11-08-04-44-10#0.5#5d8cd81/qpid/java/broker/src/main/java/org/apache/qpid/server/AMQChannel.java,F:/corpus/qpid/qpid#2010-03-29-22-47-18#0.6#83e3151/qpid/java/broker/src/main/java/org/apache/qpid/server/AMQChannel.java,0,0,0,0,0,0,0,0,0,1,0,4,0,YES,0,0,0,3,10,11,3,3,1,0,0,6,6,0,0,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,38,38,3,3,28,0,591,909
qpid,0.5,0.6,F:/corpus/qpid/qpid#2010-11-08-04-44-10#0.5#5d8cd81/qpid/java/broker/src/main/java/org/apache/qpid/server/ExtractResendAndRequeue.java,F:/corpus/qpid/qpid#2010-03-29-22-47-18#0.6#83e3151/qpid/java/broker/src/main/java/org/apache/qpid/server/ExtractResendAndRequeue.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,4,3,0,0,1,0,40,108
qpid,0.5,0.6,F:/corpus/qpid/qpid#2010-11-08-04-44-10#0.5#5d8cd81/qpid/java/broker/src/main/java/org/apache/qpid/server/Main.java,F:/corpus/qpid/qpid#2010-03-29-22-47-18#0.6#83e3151/qpid/java/broker/src/main/java/org/apache/qpid/server/Main.java,0,0,0,0,0,1,0,0,0,0,0,0,0,YES,2,0,0,0,2,1,1,4,0,0,0,1,6,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,84,1,11,6,0,223,509
qpid,0.5,0.6,F:/corpus/qpid/qpid#2010-11-08-04-44-10#0.5#5d8cd81/qpid/java/broker/src/main/java/org/apache/qpid/server/ack/UnacknowledgedMessageMap.java,F:/corpus/qpid/qpid#2010-03-29-22-47-18#0.6#83e3151/qpid/java/broker/src/main/java/org/apache/qpid/server/ack/UnacknowledgedMessageMap.java,0,0,0,0,2,0,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,81
qpid,0.5,0.6,F:/corpus/qpid/qpid#2010-11-08-04-44-10#0.5#5d8cd81/qpid/java/broker/src/main/java/org/apache/qpid/server/ack/UnacknowledgedMessageMapImpl.java,F:/corpus/qpid/qpid#2010-03-29-22-47-18#0.6#83e3151/qpid/java/broker/src/main/java/org/apache/qpid/server/ack/UnacknowledgedMessageMapImpl.java,0,0,0,0,0,3,0,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,1,0,62,232
qpid,0.5,0.6,F:/corpus/qpid/qpid#2010-11-08-04-44-10#0.5#5d8cd81/qpid/java/broker/src/main/java/org/apache/qpid/server/configuration/QueueConfiguration.java,F:/corpus/qpid/qpid#2010-03-29-22-47-18#0.6#83e3151/qpid/java/broker/src/main/java/org/apache/qpid/server/configuration/QueueConfiguration.java,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,111
qpid,0.5,0.6,F:/corpus/qpid/qpid#2010-11-08-04-44-10#0.5#5d8cd81/qpid/java/broker/src/main/java/org/apache/qpid/server/configuration/ServerConfiguration.java,F:/corpus/qpid/qpid#2010-03-29-22-47-18#0.6#83e3151/qpid/java/broker/src/main/java/org/apache/qpid/server/configuration/ServerConfiguration.java,0,0,0,0,1,2,0,0,0,0,0,0,0,YES,0,0,0,0,9,8,0,0,0,0,0,1,1,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,0,6,8,0,168,544
